edad,salud,sueno,estres,ingreso,familia,amigos,recreacion,promedio,estudio,autoestima,optimismo,felicidad
29,6,8,4,8005,7,1,19,84,25,7,10,1
29,10,10,9,9605,1,3,14,89,7,4,9,1
26,7,1,9,7347,9,1,6,78,33,7,5,0
30,5,8,3,7921,5,1,22,93,14,8,8,1
19,9,2,3,10591,9,4,12,86,25,8,1,1
20,8,10,4,8449,2,8,10,70,12,2,2,0
29,8,6,2,9582,7,5,12,95,29,1,3,1
23,10,3,3,3369,3,1,13,79,24,8,5,1
28,3,2,3,4323,1,8,0,89,36,8,9,0
30,1,10,8,4897,4,15,14,86,33,2,10,1
27,1,4,9,5556,10,6,1,71,14,1,6,0
18,3,1,10,10884,5,10,2,63,11,7,3,0
20,5,10,10,10376,9,5,14,97,28,1,2,1
30,5,6,6,7208,2,13,17,64,23,8,3,1
19,5,6,9,7779,9,6,22,73,8,2,10,1
29,9,2,8,10908,5,13,19,80,21,9,10,1
27,6,3,10,10218,8,15,15,71,19,5,4,1
18,2,1,8,11247,2,6,25,99,31,7,1,0
23,6,9,4,1185,4,9,8,64,24,5,9,1
26,6,1,2,6460,6,12,23,96,6,3,4,1
23,6,8,8,1582,3,15,4,100,34,9,6,1
25,7,1,9,5904,10,10,17,94,6,4,10,1
28,6,6,2,3446,5,0,10,84,39,3,10,1
27,7,3,10,2914,5,10,22,62,22,7,2,0
25,4,6,8,5958,4,9,5,67,28,1,4,0
19,8,9,1,8907,9,4,6,81,35,9,5,1
30,6,3,2,9456,3,6,23,62,34,7,9,1
19,1,5,1,10736,2,10,14,62,11,9,5,0
18,10,5,4,6257,4,6,9,77,39,6,8,1
28,2,5,3,3580,5,3,0,99,40,9,2,0
21,9,6,9,6218,5,4,22,78,20,3,2,0
22,10,6,9,8268,1,4,0,90,8,2,7,0
18,2,7,7,3932,10,14,19,82,24,6,4,1
29,9,2,8,10302,3,2,25,89,11,8,5,1
28,8,8,4,4666,3,8,11,85,16,6,6,1
25,8,1,2,8787,2,11,15,89,15,5,6,1
27,10,3,9,2686,7,3,10,95,9,5,9,1
25,7,10,7,4908,10,7,17,70,35,7,2,1
23,4,10,7,8132,10,10,17,75,16,2,10,1
25,2,10,10,8584,6,3,14,71,24,7,2,0
27,2,10,7,6364,8,1,2,73,13,10,1,0
30,3,3,8,9704,5,12,19,96,33,4,4,1
28,6,5,10,5989,7,11,2,97,5,10,9,1
24,3,5,1,7049,9,1,0,95,27,2,5,0
18,4,7,10,7459,6,12,12,84,32,9,4,1
28,3,8,3,4083,9,12,11,86,14,5,3,1
20,1,2,1,3359,8,13,4,65,13,7,8,0
30,10,7,10,3945,8,13,17,88,29,6,4,1
20,7,10,1,10468,8,7,22,92,22,7,9,2
27,6,1,1,10308,8,11,3,97,35,2,3,1
29,9,5,8,9469,2,2,7,90,9,9,10,1
22,10,1,6,9765,1,15,14,92,35,10,6,1
24,6,5,5,3744,1,9,23,96,21,1,8,1
27,3,10,1,11753,5,0,9,91,10,3,9,1
19,5,5,3,11089,5,8,8,60,12,10,3,1
27,3,8,6,3873,5,7,15,71,38,1,6,0
19,3,10,3,9125,7,12,7,88,15,4,10,1
29,6,1,5,2900,1,5,14,85,35,5,8,0
29,9,4,7,7390,8,8,4,93,32,1,5,1
30,8,7,6,9687,1,3,17,100,27,7,10,1
28,5,6,5,5375,2,8,20,97,30,8,4,1
29,10,4,9,6528,3,10,17,60,5,2,1,0
24,2,9,2,8306,6,7,23,78,21,4,1,1
18,10,2,1,10734,4,3,22,67,10,10,3,1
24,10,3,2,4018,5,9,14,64,34,5,7,1
29,6,5,3,2212,5,1,12,84,26,1,5,0
22,3,8,2,9056,4,12,5,91,11,3,9,1
30,7,4,10,11540,2,14,22,76,11,1,2,0
19,10,5,8,1307,8,4,20,100,5,1,7,1
22,3,6,7,10414,1,15,15,87,30,2,9,1
21,1,7,8,2985,10,11,10,79,30,1,2,0
23,9,6,2,8530,5,6,5,95,7,7,4,1
22,7,2,6,8970,2,14,23,72,13,1,4,0
18,10,4,8,7369,2,9,15,94,33,1,1,1
23,1,6,1,7643,2,6,25,93,34,9,3,1
29,10,4,2,1604,3,15,20,61,35,10,1,1
21,3,1,3,11365,1,9,25,66,34,10,3,1
27,2,2,2,9145,10,7,2,72,32,6,7,1
23,2,10,9,3250,6,6,24,62,16,6,2,0
19,5,3,7,3753,6,5,14,75,7,3,2,0
30,10,7,3,1256,8,2,0,60,16,2,10,0
22,7,8,3,4377,3,8,16,88,31,4,3,1
27,1,10,3,9190,10,2,20,79,27,7,1,1
26,4,4,2,9686,2,11,24,94,37,4,8,1
30,4,5,1,4173,2,4,21,90,36,3,3,0
28,1,1,6,5670,4,13,8,81,34,1,2,0
29,1,9,3,3589,1,15,16,67,9,4,8,0
27,10,6,7,4256,6,7,24,67,25,4,2,1
21,7,4,7,4615,2,15,18,91,8,7,3,1
21,10,8,3,7346,6,4,14,72,27,5,4,1
23,3,1,10,1977,5,4,3,89,34,7,3,0
30,6,4,5,10889,3,5,18,95,19,2,7,1
26,8,4,10,8757,8,8,0,87,20,4,6,1
24,10,4,10,3440,10,0,13,62,7,8,9,0
18,7,9,7,8852,2,14,15,75,10,9,1,1
29,7,4,3,6872,5,7,20,65,6,8,5,1
20,8,10,10,1399,8,14,24,68,30,3,6,1
28,8,1,2,7305,6,1,9,87,22,10,9,1
27,4,2,10,6500,1,11,1,67,29,6,8,0
27,1,6,6,3871,9,2,17,73,13,6,4,0
26,2,8,10,4437,4,10,11,77,37,7,5,0
18,2,6,6,8412,8,3,15,94,39,5,8,1
27,6,2,4,8501,2,2,12,71,23,2,2,0
20,5,2,3,9131,3,6,16,100,6,5,7,1
28,9,3,8,6680,7,14,23,61,23,4,2,1
18,4,9,6,7745,10,10,20,80,36,10,9,1
26,8,8,5,10293,3,9,5,76,19,8,6,1
22,1,3,6,5659,8,5,19,70,39,5,3,0
20,3,3,4,2915,1,10,18,68,33,5,6,0
20,4,9,1,11904,6,11,4,83,33,9,3,1
26,5,2,1,7628,8,4,14,80,14,1,9,1
26,6,5,8,5748,10,4,25,96,33,6,2,1
29,8,1,3,10026,2,9,0,85,19,8,6,1
19,6,1,10,11507,4,7,25,77,17,1,2,0
26,8,2,9,7462,4,15,10,98,37,1,6,1
24,3,7,6,7326,6,0,9,82,27,5,8,0
26,2,4,8,7809,8,9,5,87,31,3,10,0
27,2,3,4,5968,8,10,2,97,29,2,1,0
24,5,7,3,10106,8,4,6,71,29,5,9,1
25,1,5,10,5979,8,14,7,61,5,3,5,0
22,8,2,5,7834,3,15,22,75,6,2,5,1
25,2,10,6,10520,8,13,8,100,35,2,6,1
26,10,1,5,3668,10,1,4,80,34,3,6,0
20,1,5,6,7873,6,1,9,78,38,2,9,0
21,3,2,10,3738,9,10,10,79,22,6,2,0
26,10,6,3,1211,3,9,11,91,31,6,3,1
19,4,3,9,4622,4,3,13,89,9,2,3,0
18,8,6,5,6940,3,14,19,93,26,3,5,1
18,2,4,3,3332,4,9,4,73,13,2,7,0
29,2,2,1,8934,7,1,6,66,7,9,10,0
18,8,2,5,1709,2,9,21,60,11,2,10,0
21,10,4,3,11987,6,0,2,69,22,10,6,1
23,3,9,10,4962,9,2,3,97,5,9,4,0
29,4,5,3,9800,1,3,6,92,35,6,10,1
20,8,2,3,6813,7,13,6,92,19,7,2,1
30,6,2,8,2807,9,4,15,83,23,9,1,0
19,6,8,2,7304,5,14,19,79,33,4,9,1
24,5,7,4,2140,8,11,5,60,36,2,7,0
25,9,2,2,3348,7,12,22,97,11,3,2,1
23,4,6,4,10747,7,3,7,87,36,5,10,1
27,5,7,6,8795,10,12,15,92,22,3,8,1
19,2,5,8,9147,4,4,0,66,8,2,8,0
28,1,3,7,10905,6,4,9,99,11,2,9,0
30,8,8,4,5809,8,15,16,76,39,6,9,1
26,1,1,7,2951,7,14,10,84,33,8,1,0
18,3,9,5,3689,8,13,4,79,29,8,2,1
27,8,9,9,10375,8,15,17,70,37,1,7,1
22,8,10,7,11107,6,9,10,63,6,10,1,1
20,6,6,10,1440,6,12,3,87,27,6,7,0
23,1,4,4,4844,5,2,22,64,24,2,6,0
20,1,9,6,1612,8,13,18,92,31,5,1,1
29,8,10,1,6185,7,12,10,96,11,8,2,1
29,4,6,8,9237,6,5,19,79,28,7,4,1
25,2,9,4,5708,5,1,9,96,30,4,10,1
29,2,10,2,10697,6,8,2,96,38,8,7,1
21,6,2,5,9268,5,13,21,94,25,4,7,1
24,5,10,9,8425,9,5,0,100,38,3,10,1
25,4,8,5,11451,9,13,18,100,8,9,4,1
23,8,3,4,3465,5,13,13,80,9,4,7,1
22,5,3,5,10850,4,12,7,67,14,4,1,0
21,5,8,8,10172,7,13,20,62,17,3,5,1
20,1,5,5,11791,9,5,20,62,36,1,1,0
19,6,10,5,2041,7,11,21,65,30,3,4,1
19,10,9,2,9551,10,8,15,65,20,10,2,1
30,6,6,10,7388,4,13,6,69,11,3,4,0
22,8,7,5,10658,1,15,17,83,12,6,9,1
24,8,4,5,3374,6,15,22,83,24,1,10,1
18,1,4,5,10055,7,9,20,83,12,9,4,1
25,7,1,7,5186,5,2,24,75,24,4,3,0
25,6,7,1,5489,2,15,15,86,26,7,2,1
20,5,9,2,6764,7,10,14,61,8,3,8,1
30,3,1,7,4278,5,10,18,65,12,3,4,0
26,3,10,7,6233,8,15,23,68,21,3,10,1
23,5,4,2,7791,6,5,12,84,19,1,1,0
26,10,4,2,8576,4,8,22,70,8,7,10,1
24,10,5,3,2459,6,5,18,67,5,9,7,1
30,8,8,2,4677,4,6,25,77,23,8,7,1
20,7,4,10,4531,5,6,13,71,31,3,1,0
22,5,4,10,8388,4,11,18,89,10,1,8,0
20,6,7,4,7283,7,8,2,66,40,1,1,0
23,4,8,6,10934,10,1,0,76,37,10,7,1
22,7,6,3,10167,1,5,8,70,37,8,6,1
25,3,2,6,9690,7,4,8,67,25,1,3,0
25,5,6,7,5635,5,8,16,80,32,3,6,1
29,8,3,9,11771,8,1,6,69,8,4,3,0
18,8,5,3,8653,7,3,15,62,33,6,9,1
25,8,8,2,3425,2,11,2,73,23,3,3,0
29,9,5,10,11864,10,6,18,60,38,10,3,1
24,2,4,8,2545,6,0,9,67,30,6,10,0
19,6,3,1,2328,8,15,14,100,22,10,1,1
23,1,10,8,6323,10,4,6,63,23,6,1,0
29,2,9,10,7248,2,12,8,71,20,7,2,0
18,4,3,7,7592,5,4,3,79,36,7,5,0
28,10,3,6,11903,2,11,16,72,36,8,7,1
25,5,10,10,7931,2,13,25,83,16,7,7,1
19,1,9,6,8594,4,4,15,93,38,2,5,0
25,7,2,8,5921,3,4,21,79,20,9,7,1
22,10,1,9,2253,1,3,16,87,31,2,8,0
28,10,5,6,5175,10,2,24,92,6,2,8,1
20,3,7,1,2364,7,9,10,97,34,8,10,1
30,5,6,3,4458,3,2,23,98,21,2,7,1
26,1,1,7,2911,1,5,20,90,34,7,10,0
29,8,5,10,11104,6,12,25,79,10,3,3,1
18,4,2,1,4083,1,6,15,69,20,7,9,0
21,2,5,8,3427,8,13,0,67,15,3,8,0
25,8,1,8,10588,4,6,9,96,30,1,6,0
18,2,7,7,9121,10,9,1,91,30,8,9,1
27,10,8,4,1994,9,0,13,96,25,9,2,1
22,7,8,2,9106,10,11,14,87,6,3,5,1
29,4,8,6,8178,4,7,18,81,34,3,5,1
29,7,7,6,8738,3,6,9,65,35,3,3,0
21,3,10,8,2653,7,15,9,75,18,9,1,0
18,6,5,6,3598,3,1,25,64,26,7,2,0
27,4,2,9,4671,8,8,10,82,7,9,5,0
20,9,10,2,1826,8,14,24,67,11,10,10,1
30,2,9,1,9311,2,5,20,67,18,6,3,0
29,5,8,9,9165,2,4,20,83,26,3,2,0
21,8,7,1,5019,8,10,9,92,15,2,5,1
23,7,6,4,3483,9,13,25,74,13,7,7,1
24,8,9,6,1487,8,4,24,60,38,2,2,0
23,6,7,3,8111,1,12,24,62,14,10,1,1
28,9,5,7,7586,9,9,23,80,27,1,5,1
26,10,3,7,8310,4,14,22,82,30,4,5,1
19,1,9,6,7389,3,9,6,65,37,9,5,0
26,6,3,1,1456,9,8,7,79,32,9,2,1
29,1,6,5,11272,9,11,3,63,12,8,5,0
27,1,8,6,4868,10,7,11,79,23,10,3,1
29,7,9,4,2724,6,6,24,83,34,2,3,1
29,7,7,2,2511,1,13,4,90,18,8,2,1
23,9,7,10,10158,9,12,8,97,36,7,8,1
29,8,7,3,3364,9,4,15,89,13,9,9,1
19,4,8,8,1534,3,11,3,98,31,2,2,0
23,10,5,1,9565,3,3,11,79,28,5,5,1
25,1,3,3,10660,7,1,9,78,18,3,8,0
18,2,9,6,2106,1,13,15,96,24,10,8,1
23,7,8,10,3175,3,14,24,88,33,3,6,1
19,10,10,7,7344,4,12,10,94,7,8,5,1
28,2,3,1,10371,5,3,20,95,10,4,10,1
26,10,1,10,9548,4,15,16,61,12,9,3,1
18,5,4,4,10495,8,2,25,94,25,7,10,1
18,8,1,6,8160,3,13,0,93,25,7,5,1
19,2,2,9,3755,5,4,5,76,10,3,5,0
24,3,1,10,6329,3,0,22,63,24,7,2,0
23,3,7,6,5225,7,3,1,72,20,10,10,0
21,8,9,9,7308,2,8,1,80,34,9,7,1
19,8,1,7,11379,4,0,8,95,11,4,9,1
28,3,5,10,7664,8,2,20,92,18,3,6,0
26,3,4,9,7942,9,14,1,60,34,10,5,0
28,3,1,1,8900,5,8,21,84,27,4,10,1
26,5,1,3,9750,10,2,9,65,30,2,3,0
29,9,5,7,4454,10,10,21,81,21,8,5,1
21,6,6,4,8533,10,10,0,68,5,10,8,1
18,1,3,7,10106,8,12,17,65,9,9,1,0
28,8,2,6,7166,10,11,12,71,5,2,8,1
23,4,8,1,4629,1,8,21,82,17,2,10,1
28,5,4,4,9090,6,1,8,91,18,1,4,0
28,7,2,5,10324,9,15,5,95,17,10,10,1
27,3,2,10,3101,2,4,8,96,19,9,5,0
21,1,9,10,5143,9,14,0,87,8,6,7,0
24,5,2,9,8644,8,11,16,62,19,1,5,0
24,9,8,6,1084,7,6,10,65,6,4,7,0
19,4,4,3,6394,5,2,20,100,11,1,8,1
24,1,10,6,5102,4,3,15,75,26,1,6,0
26,4,2,10,11150,8,3,20,88,12,2,1,0
18,7,6,2,3089,1,14,1,79,32,2,2,0
28,1,9,1,5831,7,12,3,99,31,4,10,1
30,10,1,8,7290,8,13,19,99,11,6,1,1
25,9,6,10,4153,2,3,0,98,9,10,4,0
27,3,9,5,6822,7,15,23,99,33,3,4,1
20,1,1,3,6106,10,13,16,82,24,10,9,1
30,3,3,8,6057,10,10,9,83,5,9,10,1
28,3,1,4,9308,9,1,13,82,17,4,4,0
30,2,6,4,11942,8,14,19,81,26,10,5,1
24,6,3,2,8443,1,15,7,60,19,4,8,0
27,4,4,8,6431,7,6,12,71,5,6,1,0
19,6,1,9,2887,3,9,14,72,28,1,1,0
21,4,5,3,4587,5,5,10,95,20,3,4,0
18,3,5,2,1343,3,12,20,67,26,4,5,0
25,4,6,6,11828,3,13,22,64,12,3,3,0
30,4,4,9,7196,6,10,19,87,20,1,10,1
27,4,9,5,3434,6,7,1,100,22,3,9,1
27,8,4,2,8711,10,2,5,92,29,9,6,1
25,9,8,3,6272,6,15,22,91,35,5,10,2
24,10,1,4,4596,4,14,7,85,18,5,7,1
24,10,3,6,5170,9,2,4,65,23,8,9,1
23,4,10,1,8622,9,10,13,88,34,7,7,1
23,8,6,5,7264,1,5,14,74,21,2,6,0
19,5,9,9,9956,2,8,7,66,12,2,6,0
18,9,4,6,4221,6,8,9,77,17,10,3,1
30,9,5,1,5906,5,11,25,85,30,10,1,1
25,9,3,7,4728,4,6,15,74,38,10,9,1
30,8,8,6,2406,6,6,13,86,18,8,8,1
26,1,6,3,10461,3,9,23,60,36,6,6,1
21,7,7,7,9808,5,10,18,61,7,3,3,0
23,10,10,10,10402,7,12,6,85,9,9,7,1
21,8,2,6,10330,8,9,2,70,11,9,3,1
18,10,8,1,4058,4,2,12,78,18,4,5,1
28,9,2,8,1941,6,0,5,80,31,7,3,0
19,3,9,7,8835,2,12,6,68,18,5,7,0
29,8,3,10,10422,5,6,16,89,22,4,1,0
20,8,2,7,10909,4,10,18,91,34,8,10,1
18,2,5,8,6681,5,12,19,71,31,4,3,0
27,7,8,7,11798,3,3,12,62,20,3,5,0
28,9,5,2,4559,8,13,24,95,12,6,2,1
30,2,9,6,7719,8,5,8,73,37,1,8,0
18,2,8,7,6630,7,6,12,62,5,5,2,0
29,3,6,8,8942,8,2,2,95,20,8,3,0
25,5,3,3,1295,10,3,5,78,12,9,7,0
20,2,1,5,3514,8,11,5,73,7,9,4,0
25,1,9,2,7399,5,14,1,98,5,1,7,1
30,4,4,6,4908,4,2,0,86,6,1,6,0
21,2,4,2,11880,3,5,1,86,37,2,6,0
23,9,4,10,4393,9,12,13,67,19,4,2,0
23,6,3,1,7588,6,0,12,73,34,4,2,0
28,5,10,6,1719,2,6,13,79,36,2,9,0
30,10,3,5,2552,10,10,20,84,13,6,3,1
28,6,8,2,6490,1,14,12,92,19,9,10,1
29,1,4,1,11098,2,9,7,87,20,10,2,1
18,3,6,8,5859,4,4,12,73,7,4,10,0
25,6,3,5,6202,1,13,20,78,6,4,6,0
23,4,4,9,1885,4,7,19,84,38,6,3,0
25,1,2,8,2146,4,1,20,69,18,3,2,0
20,10,9,4,4871,9,2,13,89,24,3,4,1
21,7,3,10,5079,5,9,18,88,17,5,8,1
19,6,7,7,3748,8,14,13,92,32,3,8,1
18,7,7,2,5918,10,4,17,71,21,7,8,1
22,8,5,7,10210,10,15,2,81,13,8,4,1
20,4,1,1,9203,6,15,12,86,30,6,7,1
25,5,10,2,7697,1,3,12,96,15,4,7,1
22,6,9,8,11403,6,1,20,84,32,4,4,1
25,1,6,1,11906,3,8,19,89,14,5,4,1
27,10,3,1,2912,2,12,12,97,10,9,4,1
24,3,7,5,5951,9,12,18,79,31,2,2,1
28,10,6,3,5407,4,12,22,79,5,3,8,1
18,2,2,7,9600,7,9,23,87,15,3,6,1
20,3,4,8,3981,9,3,14,96,18,3,4,0
18,3,4,5,7697,8,3,20,70,10,5,2,0
24,2,5,2,6605,1,7,15,91,11,1,1,0
22,1,10,1,2586,4,0,12,98,38,5,8,1
25,6,10,7,6514,6,10,10,75,28,7,7,1
27,1,6,6,2641,1,14,22,85,13,1,10,0
19,9,5,4,7036,8,15,16,86,17,1,6,1
18,6,1,6,8279,4,15,12,99,10,6,7,1
25,2,7,5,10947,4,4,16,96,37,1,3,0
25,2,5,9,8648,3,14,3,90,39,4,4,0
21,3,2,2,8125,1,5,10,84,22,4,5,0
28,8,2,3,9757,8,2,25,81,19,10,10,1
19,6,7,7,11713,9,13,25,74,19,5,2,1
22,2,2,2,6574,10,6,23,67,28,3,6,1
24,10,1,5,2013,10,6,12,87,25,6,3,1
26,10,10,4,2746,7,0,17,89,25,3,5,1
21,8,8,3,10854,5,4,23,62,25,5,9,1
29,2,5,10,8836,4,15,9,84,8,6,3,0
29,4,4,1,3933,8,12,9,70,6,9,7,1
23,7,8,6,7412,7,2,16,78,23,4,9,1
24,2,3,6,10509,1,9,14,70,13,8,8,0
22,3,4,4,4205,1,11,23,96,11,3,7,0
24,3,1,2,6825,8,5,1,67,37,6,10,0
24,3,7,4,1556,2,7,12,91,24,10,3,0
28,7,2,8,11654,7,8,20,88,28,1,2,1
19,2,2,8,11508,9,7,0,97,35,5,2,0
30,10,3,7,8932,7,9,18,68,11,6,2,1
29,9,3,7,1323,7,15,2,93,39,2,4,1
28,2,3,10,3948,1,14,25,80,12,1,3,0
27,4,3,2,10215,5,1,2,67,37,5,6,0
26,3,7,1,5068,5,1,16,78,39,8,3,1
27,8,6,9,6769,10,6,22,66,7,4,1,0
21,3,5,4,3198,10,6,18,82,22,3,10,1
24,2,9,5,5270,7,5,12,89,10,5,7,1
29,3,9,4,2156,5,6,22,83,37,10,3,1
24,3,6,7,7208,1,7,2,77,12,9,2,0
28,9,7,2,6396,2,11,10,77,14,4,5,1
18,2,7,4,7203,2,3,5,93,24,10,8,1
19,9,6,10,5620,9,8,19,66,8,3,6,1
30,7,3,6,9711,9,12,15,97,13,5,1,1
28,9,3,3,3337,7,8,1,100,28,4,10,1
24,8,3,8,6799,8,9,8,87,38,4,5,1
28,2,5,7,6123,2,2,2,75,10,3,10,0
18,2,5,9,9074,1,13,21,92,13,8,8,1
26,9,2,7,1227,10,6,23,60,32,9,6,1
21,9,10,1,10951,8,5,21,93,19,3,2,1
23,3,9,6,1834,7,15,12,70,28,2,6,0
28,4,9,2,5752,5,15,9,76,18,1,10,1
24,4,5,9,1580,8,15,1,82,5,10,8,0
23,5,6,2,1084,6,5,12,82,5,2,7,0
25,4,2,9,9426,3,13,3,91,5,3,5,0
21,8,7,6,5903,6,13,5,94,22,2,8,1
28,8,3,3,6795,7,0,11,72,12,4,5,0
18,3,7,7,6426,1,5,21,72,35,5,2,0
24,8,9,8,3087,6,12,16,84,13,2,2,1
30,1,3,3,6638,9,0,24,75,8,6,7,0
27,1,7,8,5742,5,15,2,87,20,10,3,0
29,9,3,4,5606,2,8,22,75,32,4,8,1
29,2,9,10,3968,4,4,7,67,13,7,1,0
22,4,3,7,1289,10,6,2,63,29,7,9,0
22,4,4,6,7980,8,1,16,87,8,5,2,0
22,6,5,6,7849,4,10,1,71,7,1,1,0
28,6,4,5,8734,5,3,13,71,21,8,6,1
23,5,2,2,11960,1,4,10,83,28,10,9,1
27,6,4,5,4441,10,12,2,66,13,10,2,0
18,10,4,4,8303,2,2,17,99,26,5,8,1
30,4,9,3,1717,3,6,13,95,21,9,6,1
23,8,2,7,2109,8,13,16,92,6,3,10,1
22,3,5,1,10276,1,6,23,85,36,9,9,1
19,3,8,9,7293,9,12,12,98,22,4,3,1
18,3,10,4,10701,1,14,16,93,21,5,4,1
22,5,9,2,3803,4,1,17,75,23,1,3,0
22,3,5,1,11525,4,6,17,67,5,6,10,1
23,6,2,9,5326,3,13,19,78,25,1,1,0
23,4,5,3,5194,1,3,23,84,21,10,9,1
21,8,4,6,5403,4,12,4,88,19,7,6,1
20,8,2,8,3973,8,5,5,72,36,3,5,0
18,5,3,3,7458,10,6,2,69,9,7,4,0
25,7,2,9,3249,1,3,12,84,6,2,1,0
30,1,3,4,2369,5,4,20,98,5,1,2,0
26,6,2,4,3281,8,14,5,79,26,8,3,1
21,1,9,5,11280,9,3,0,62,11,9,5,0
19,9,7,3,1019,4,0,7,87,29,3,6,0
28,5,4,7,2841,8,5,3,74,11,5,6,0
19,10,6,2,6906,2,1,19,69,16,7,9,1
23,10,3,7,3461,5,9,11,66,22,8,6,1
22,2,1,3,11745,3,10,4,84,33,8,2,0
19,10,7,5,3370,2,10,4,71,29,6,6,1
25,7,8,7,10858,6,4,25,75,29,7,9,1
25,9,9,8,9724,9,7,12,65,31,9,10,1
30,4,2,4,6926,1,6,0,83,40,8,3,0
19,1,6,6,3283,5,14,4,95,31,4,4,0
21,1,3,2,3344,7,0,22,87,28,1,2,0
28,10,2,8,10730,3,0,4,83,14,2,4,0
19,1,10,7,3452,3,15,23,68,38,5,8,1
24,6,8,1,5698,2,4,1,62,16,9,3,0
18,7,7,8,10079,5,9,22,74,32,3,5,1
19,9,7,3,4471,7,1,7,85,16,9,10,1
19,8,8,6,11693,7,12,5,63,28,7,4,1
22,2,2,2,6942,10,10,0,75,23,3,9,0
19,2,4,10,1179,5,6,17,72,7,4,5,0
19,10,10,1,10236,8,1,1,80,10,5,1,1
23,5,7,9,4192,6,12,23,82,13,2,6,1
24,9,2,9,3460,1,12,15,97,7,5,3,0
20,8,2,2,4794,4,4,24,70,37,9,10,1
28,9,6,8,3149,6,9,11,99,32,1,7,1
21,4,10,10,2228,3,15,3,60,14,5,9,0
30,2,8,2,8451,6,5,9,70,9,5,10,1
23,6,2,2,3935,8,8,15,76,33,3,2,0
27,8,1,6,5696,7,13,19,68,33,6,9,1
27,6,6,2,7769,9,14,8,62,8,4,9,1
18,3,2,5,7157,3,12,2,74,29,8,2,0
23,8,8,9,8616,2,2,5,66,30,7,4,0
24,6,2,6,6610,10,15,6,90,12,5,8,1
18,9,3,8,3384,4,10,18,62,29,1,6,0
30,7,8,4,1886,4,0,24,87,22,5,3,1
19,3,2,5,7636,2,9,22,88,31,9,4,1
28,5,3,1,2514,7,10,24,79,15,4,6,1
24,8,8,9,3632,7,11,22,96,29,1,9,1
30,10,4,2,11943,10,4,10,80,5,3,8,1
20,8,6,2,7658,5,0,14,68,33,10,2,1
18,4,4,7,9947,3,12,6,82,18,4,10,1
18,6,6,1,5947,5,3,22,91,34,7,7,1
23,6,9,7,9571,6,3,5,89,32,6,3,1
26,10,3,9,8141,7,9,21,87,23,10,2,1
19,2,2,1,11096,7,3,15,99,39,2,8,1
26,10,1,5,7891,4,7,24,89,40,7,2,1
21,8,2,6,8601,7,12,0,83,19,9,5,1
22,5,5,7,4957,1,13,1,60,6,3,6,0
26,10,6,6,3792,10,13,7,95,30,4,10,1
28,7,1,10,8030,3,12,23,71,30,6,9,1
20,7,4,2,3069,9,3,20,96,30,5,9,1
20,6,4,2,2528,1,13,0,100,14,1,10,0
29,9,2,10,7265,1,4,14,100,27,3,4,0
28,4,5,4,9772,4,12,24,76,8,5,2,1
20,1,10,2,2817,8,3,3,69,23,5,3,0
19,2,8,6,4407,7,3,15,61,31,2,8,0
28,2,4,7,7148,6,14,25,70,16,5,1,0
20,10,10,1,2920,6,11,15,99,39,1,3,1
26,5,2,4,10930,1,0,16,92,14,4,6,0
19,4,1,6,3270,4,2,23,68,22,5,8,0
21,2,6,9,11681,5,14,23,91,32,9,7,1
21,5,3,4,5605,7,3,18,97,24,3,4,1
29,8,7,8,7942,10,8,10,99,11,10,7,1
24,4,10,6,7126,2,14,5,62,37,5,10,1
24,5,10,9,6771,7,0,3,71,25,7,3,0
23,4,2,4,11763,6,11,4,80,12,1,6,0
29,1,6,4,8624,10,10,7,95,9,7,5,1
27,4,9,4,2686,9,8,22,98,9,10,7,1
28,7,6,6,4246,4,1,25,91,36,1,5,1
24,2,2,8,3803,10,10,18,84,20,10,1,0
22,1,10,1,8565,5,4,12,62,39,9,1,1
23,1,2,8,2558,7,9,8,80,27,7,2,0
26,6,8,10,1771,7,9,22,89,36,2,6,1
27,2,1,4,1783,1,4,3,80,32,4,3,0
19,4,6,9,1080,1,8,25,62,12,1,5,0
19,5,6,10,7218,5,5,4,97,34,2,3,0
23,3,10,7,11435,8,3,16,93,20,10,8,1
28,8,5,6,8908,4,2,8,78,10,6,9,1
21,4,2,2,9103,1,6,0,73,34,7,4,0
25,2,6,4,10675,9,10,24,79,34,3,9,1
19,3,4,6,7317,8,6,24,85,17,2,5,0
24,3,5,10,11623,2,4,14,66,12,4,1,0
25,3,5,1,8802,9,14,11,76,12,9,2,1
23,7,4,3,7503,9,13,16,81,8,8,5,1
23,2,1,7,7923,4,9,6,85,16,10,5,0
26,10,8,9,8103,2,1,20,75,12,4,2,0
18,1,10,5,4911,2,3,8,74,30,7,7,0
19,4,5,8,4370,3,6,11,100,23,10,5,1
29,1,2,3,9245,10,15,23,79,20,3,6,1
28,2,3,3,6442,8,4,0,90,32,6,1,0
20,5,2,3,1159,10,11,15,97,5,8,4,1
25,2,1,1,10294,5,7,16,92,15,3,2,0
19,5,6,8,9039,6,8,21,91,21,6,8,1
18,6,5,6,9484,10,15,3,77,38,1,3,1
24,4,3,6,9156,1,7,18,87,28,4,2,0
21,7,2,5,11270,9,14,16,71,21,6,6,1
24,10,7,5,6067,4,1,18,93,26,10,2,1
24,8,10,6,5725,2,0,15,69,34,3,9,1
22,10,9,3,5974,8,9,2,78,5,8,1,1
21,5,10,2,1871,8,9,0,87,27,1,1,0
