edad,experiencia_mlb,estatura_cm,peso_kg,velocidad_swing,fuerza,precision_contacto,vision_dinamica,agilidad,tiempo_reaccion,pct_bateo
36,13,189.5,94.3,119.4,85.5,83.6,81.7,81.1,0.298,0.309
32,11,194.1,92.9,109.6,84.5,78.2,81.5,71.2,0.271,0.279
31,13,171.1,81.1,108.2,81.4,75.7,79.2,76.6,0.281,0.261
29,7,182.6,78.1,104.0,72.7,87.5,77.0,64.7,0.278,0.272
39,18,183.0,66.2,123.5,85.1,83.2,79.6,81.5,0.277,0.306
30,12,185.1,81.2,117.1,87.4,76.6,76.3,77.6,0.251,0.291
36,18,185.4,97.4,117.8,76.7,79.7,78.5,83.4,0.251,0.296
34,11,181.5,79.7,113.7,87.1,75.3,80.8,76.1,0.27,0.28
23,5,196.5,102.4,115.3,74.0,86.9,76.9,85.5,0.306,0.29
33,13,189.8,94.8,106.3,74.9,76.0,78.1,75.0,0.296,0.263
21,0,191.8,88.4,105.0,72.4,76.9,81.1,95.8,0.287,0.27
37,17,187.3,101.7,116.5,85.9,84.3,81.2,79.3,0.285,0.311
26,7,183.6,95.9,109.1,82.3,75.5,79.7,68.7,0.277,0.274
34,14,179.7,80.9,108.8,74.2,81.1,77.6,72.0,0.283,0.276
22,0,195.5,84.1,122.2,85.2,79.8,76.9,65.0,0.273,0.293
34,11,187.5,90.0,96.0,84.5,65.0,82.5,68.6,0.307,0.227
20,1,188.6,91.5,99.9,87.1,76.7,76.6,85.0,0.277,0.262
35,16,189.2,96.4,104.0,90.3,80.5,71.9,82.9,0.272,0.283
22,1,182.5,87.7,115.1,85.1,74.0,80.2,80.3,0.248,0.277
37,18,202.4,89.6,98.7,76.7,80.8,73.3,79.7,0.269,0.255
26,3,175.2,87.5,122.1,83.8,82.6,82.8,73.3,0.273,0.3
37,19,186.0,78.2,120.6,79.9,82.4,86.4,74.3,0.27,0.307
20,0,178.4,110.3,97.8,78.6,80.2,77.6,73.7,0.273,0.251
38,15,185.5,78.6,108.3,85.9,84.4,78.5,63.1,0.272,0.281
34,16,169.2,77.0,109.4,83.9,65.7,85.7,80.2,0.279,0.262
37,14,183.2,84.7,108.4,80.3,82.3,80.2,74.6,0.245,0.294
32,14,194.9,84.6,102.9,79.1,84.5,79.9,77.2,0.29,0.275
37,18,190.4,102.8,107.3,83.0,86.7,78.6,63.4,0.288,0.283
25,5,183.4,99.9,122.2,79.9,86.5,79.8,73.9,0.284,0.312
31,13,176.5,90.4,102.9,66.6,79.3,76.9,72.1,0.27,0.252
25,5,193.3,86.9,108.0,94.6,84.0,76.8,78.3,0.26,0.303
39,19,181.5,89.3,112.2,83.0,80.5,80.4,86.2,0.269,0.29
27,6,189.7,102.3,119.8,80.5,76.8,74.6,82.8,0.268,0.278
23,0,192.7,83.3,119.7,84.4,76.9,80.4,79.3,0.279,0.294
28,7,171.5,102.1,108.6,71.9,86.4,86.2,75.4,0.252,0.304
33,15,179.0,85.4,108.1,82.4,86.0,83.1,70.8,0.254,0.295
32,11,173.2,86.1,108.8,89.0,82.7,81.3,60.5,0.272,0.276
25,4,192.3,77.6,106.7,78.0,74.1,85.4,79.4,0.268,0.269
26,4,182.6,92.0,119.0,88.1,78.7,85.4,67.0,0.287,0.282
31,13,194.1,94.4,109.6,85.9,86.5,71.9,80.4,0.274,0.29
35,16,184.2,86.5,101.7,80.3,88.8,72.1,80.0,0.269,0.285
25,5,187.4,97.8,106.9,72.0,84.1,80.1,71.9,0.266,0.276
22,2,196.0,89.9,105.3,81.2,76.5,77.4,64.7,0.283,0.25
25,3,180.6,102.1,111.8,89.6,73.7,82.3,78.2,0.301,0.279
24,6,167.1,95.1,114.5,77.1,75.6,81.3,69.5,0.285,0.284
28,10,190.9,77.7,119.0,78.5,80.0,79.5,69.0,0.284,0.3
27,5,181.2,78.9,123.2,82.6,76.8,80.1,81.3,0.271,0.295
25,6,180.4,79.0,100.5,72.1,84.4,82.2,71.4,0.275,0.273
22,3,189.7,85.3,103.2,77.5,67.7,81.3,86.5,0.276,0.25
33,12,186.5,110.6,123.2,81.0,79.2,81.1,79.9,0.305,0.286
34,12,172.9,82.9,112.8,81.7,82.2,84.2,76.0,0.271,0.302
28,10,196.2,88.1,121.1,81.5,88.2,83.8,76.0,0.293,0.32
36,18,183.0,91.3,111.7,80.3,86.6,76.0,78.3,0.268,0.288
23,1,186.4,91.2,114.9,78.7,77.8,80.9,76.6,0.255,0.287
38,17,198.8,94.9,122.4,81.1,87.8,73.8,58.8,0.256,0.299
24,3,186.5,89.5,123.9,73.2,77.9,82.2,78.0,0.263,0.297
22,0,194.1,77.8,102.8,93.2,80.1,73.9,88.4,0.275,0.285
39,17,185.8,102.3,108.9,87.4,85.3,77.6,75.1,0.266,0.29
22,1,180.8,92.7,103.2,82.2,78.6,78.5,76.0,0.281,0.275
29,11,190.7,89.7,117.4,71.6,83.3,83.5,82.3,0.273,0.288
24,3,193.1,82.7,102.4,87.3,77.9,82.1,71.5,0.252,0.276
30,8,183.5,83.5,119.9,86.2,80.7,81.3,76.4,0.254,0.294
36,13,192.6,70.0,114.1,91.9,73.1,84.9,84.6,0.294,0.288
35,17,183.9,92.1,100.1,79.3,80.0,73.5,80.5,0.264,0.255
22,0,173.5,84.6,110.3,71.5,74.7,85.6,75.6,0.284,0.269
31,12,187.5,94.5,111.5,88.2,79.8,73.4,73.9,0.258,0.268
39,20,184.4,86.0,124.1,79.3,86.9,82.3,74.2,0.289,0.303
38,15,181.9,93.0,107.3,88.8,88.7,79.0,71.9,0.275,0.293
23,3,189.1,105.4,119.8,87.2,70.2,81.7,71.2,0.249,0.275
20,0,168.5,101.1,102.8,86.9,86.0,78.2,63.9,0.276,0.284
30,7,180.2,93.6,108.7,78.9,87.2,74.8,80.0,0.232,0.298
32,10,184.4,88.6,106.0,82.1,80.2,74.1,80.4,0.262,0.275
38,20,201.0,81.9,113.2,81.7,73.6,81.1,61.4,0.251,0.273
21,0,196.4,89.7,113.0,73.8,85.8,83.8,71.2,0.273,0.29
26,8,186.1,77.3,119.6,89.8,75.2,76.5,60.2,0.275,0.261
23,1,186.6,88.8,122.1,80.7,77.3,84.0,78.5,0.27,0.304
27,8,181.2,84.1,109.6,82.1,73.4,75.8,76.3,0.263,0.267
32,14,195.8,89.3,93.3,73.8,82.6,71.2,75.1,0.282,0.248
24,5,180.4,94.4,115.9,81.0,82.0,74.1,79.5,0.259,0.295
32,13,188.6,96.4,107.7,80.6,82.4,78.5,64.9,0.286,0.272
31,13,178.9,87.2,115.2,78.6,78.6,77.9,76.4,0.296,0.276
33,13,182.9,66.6,115.0,84.6,87.2,76.8,71.1,0.273,0.304
23,3,181.1,88.0,119.2,93.8,69.2,71.0,74.3,0.266,0.261
31,8,170.8,85.7,112.1,74.3,77.1,76.1,80.3,0.265,0.281
39,21,196.9,98.1,112.1,87.1,86.0,75.9,71.4,0.282,0.3
22,4,178.3,93.3,108.4,82.3,74.8,79.5,76.7,0.261,0.254
30,11,184.0,86.3,118.0,86.0,82.3,72.0,73.2,0.239,0.296
35,14,191.0,102.1,121.1,87.5,74.9,80.5,62.4,0.253,0.275
33,13,176.7,98.8,98.4,80.6,85.1,77.2,66.8,0.261,0.273
20,1,180.3,84.7,107.6,89.5,86.9,78.9,70.7,0.283,0.28
34,15,170.9,86.5,112.6,76.5,86.0,76.0,81.2,0.28,0.285
37,15,183.3,81.7,124.4,74.7,76.0,74.6,77.5,0.255,0.293
30,12,189.9,96.9,114.0,83.6,77.9,76.6,70.7,0.262,0.279
23,5,184.6,81.0,103.4,86.2,82.0,85.5,71.9,0.239,0.292
30,12,170.8,78.6,107.2,82.5,74.6,83.8,63.0,0.259,0.26
38,18,194.0,88.7,110.0,73.7,78.6,83.5,77.7,0.287,0.263
36,18,188.4,87.1,124.6,85.1,80.5,83.5,67.8,0.276,0.296
39,21,185.3,82.8,104.7,83.9,77.4,75.6,71.3,0.255,0.253
28,9,175.9,85.0,117.5,83.8,77.6,84.0,73.0,0.265,0.286
28,7,185.5,78.2,103.1,75.6,83.4,80.6,75.0,0.278,0.282
32,13,191.6,109.1,126.3,93.6,74.7,80.9,77.2,0.274,0.294
34,14,191.6,95.4,104.0,90.8,91.7,74.5,67.3,0.293,0.293
21,0,187.2,101.2,106.6,91.0,76.5,83.1,80.7,0.243,0.28
21,1,195.6,74.2,114.0,88.7,75.7,78.8,61.9,0.281,0.262
35,13,198.6,86.6,108.0,84.0,72.9,86.5,90.8,0.262,0.281
27,6,185.6,94.2,128.5,85.0,83.1,78.6,77.6,0.267,0.321
39,18,182.5,72.9,121.9,72.1,74.0,83.0,65.8,0.264,0.277
31,12,195.1,97.5,113.2,85.1,69.8,69.8,71.6,0.277,0.247
21,0,192.4,97.4,113.1,80.5,86.6,78.1,77.7,0.251,0.311
21,3,195.1,78.2,109.4,89.4,84.8,84.8,71.1,0.288,0.291
39,20,179.0,95.8,108.4,75.7,77.6,76.2,83.1,0.267,0.267
38,20,182.9,89.5,111.8,86.3,78.9,73.5,72.6,0.297,0.274
20,0,193.8,73.8,106.7,65.0,81.3,75.1,71.0,0.263,0.262
33,13,181.8,95.6,119.5,86.4,78.9,73.8,89.2,0.297,0.294
20,0,178.3,95.6,108.1,81.2,83.3,79.9,75.3,0.272,0.28
34,11,192.7,91.9,109.5,72.8,85.9,75.0,68.3,0.251,0.281
21,0,193.9,95.0,113.8,84.7,79.4,84.9,73.8,0.254,0.288
37,19,182.2,96.7,98.6,81.0,86.0,79.1,58.7,0.268,0.264
24,1,177.9,91.5,107.4,76.3,75.3,80.1,78.8,0.271,0.264
34,12,181.2,87.6,115.9,75.3,81.0,86.1,63.6,0.244,0.283
20,1,193.4,100.0,104.5,88.5,83.9,78.7,80.1,0.287,0.277
22,0,194.8,82.4,104.9,88.3,69.5,73.9,86.4,0.276,0.26
23,0,190.9,114.3,114.6,77.3,79.3,81.3,74.4,0.289,0.284
27,7,195.8,86.4,119.2,81.0,74.5,79.5,75.8,0.275,0.262
38,17,186.0,81.8,110.0,75.2,69.6,76.8,72.5,0.28,0.233
27,6,179.3,83.5,111.4,72.3,81.1,77.5,76.8,0.262,0.266
22,4,184.1,82.1,109.7,95.8,75.1,84.3,64.3,0.261,0.287
38,19,172.9,84.3,118.3,78.1,89.9,79.9,75.3,0.263,0.317
24,1,174.8,80.5,94.9,78.0,80.1,86.4,78.9,0.278,0.27
37,14,184.3,99.3,114.9,92.7,80.4,81.2,73.1,0.248,0.289
33,11,179.6,101.9,122.8,89.6,82.7,81.8,61.2,0.266,0.305
33,12,175.7,102.2,125.8,82.3,80.0,78.5,76.2,0.256,0.319
26,5,187.7,90.1,113.5,93.9,77.4,80.7,70.9,0.275,0.292
22,2,174.9,111.7,105.8,82.3,89.0,79.6,71.4,0.272,0.3
32,10,188.7,80.0,113.7,85.0,81.9,76.6,79.5,0.258,0.282
21,0,195.5,104.7,114.4,81.5,79.4,82.5,77.8,0.273,0.288
22,0,182.3,92.7,115.8,81.7,86.8,80.1,71.4,0.271,0.315
36,18,181.0,76.1,98.9,80.4,81.6,82.8,71.3,0.274,0.263
20,0,183.1,110.3,109.1,91.7,73.4,84.6,70.1,0.247,0.271
23,2,184.8,76.2,106.4,76.5,79.0,78.6,77.5,0.258,0.264
30,8,195.4,78.1,119.1,65.2,77.2,80.2,86.1,0.264,0.277
37,16,185.6,91.1,113.1,77.3,82.9,82.7,82.2,0.261,0.299
24,4,185.4,75.5,114.7,82.0,69.9,73.9,81.9,0.264,0.253
37,17,172.4,98.2,104.2,81.7,89.8,86.7,64.2,0.263,0.3
38,17,180.5,66.4,114.0,82.2,79.0,72.5,75.4,0.276,0.269
31,9,188.7,94.0,110.3,86.9,83.1,72.0,76.8,0.276,0.286
26,5,185.9,80.1,103.3,76.4,92.1,77.1,70.1,0.278,0.281
30,7,190.9,67.9,114.7,79.5,85.1,80.5,69.1,0.265,0.3
20,1,172.4,84.1,112.6,82.9,88.6,74.8,82.6,0.268,0.311
31,11,189.4,85.5,106.6,81.7,71.7,79.4,62.4,0.27,0.246
20,0,195.2,85.1,118.5,89.2,88.9,76.7,74.9,0.271,0.315
25,4,186.6,85.3,118.2,86.4,78.4,81.3,63.3,0.273,0.282
26,4,172.9,79.3,102.5,88.8,78.4,77.3,78.2,0.263,0.276
34,15,177.3,100.2,112.2,84.3,83.3,75.7,66.7,0.255,0.28
39,17,184.1,87.0,107.5,74.1,80.8,78.8,72.9,0.267,0.272
38,20,180.8,69.8,119.5,86.8,76.7,74.3,78.4,0.268,0.29
38,20,185.3,74.1,111.8,85.0,83.6,77.6,67.2,0.268,0.287
21,2,189.9,88.1,117.6,81.6,81.1,78.3,75.7,0.272,0.295
22,1,184.3,86.1,116.8,78.7,81.2,81.4,72.6,0.295,0.288
25,4,190.0,86.8,123.0,74.8,85.4,77.2,72.7,0.275,0.301
30,12,180.2,79.0,115.6,89.9,79.2,77.2,71.3,0.278,0.289
31,12,183.6,88.4,113.3,79.2,80.4,77.6,71.4,0.251,0.271
28,7,192.3,90.8,106.1,81.7,84.9,73.7,73.5,0.261,0.29
30,7,190.4,91.2,115.2,87.0,74.5,76.2,66.1,0.253,0.267
34,15,177.5,76.6,107.6,80.8,77.1,75.8,72.4,0.267,0.262
34,16,182.6,77.3,113.9,81.3,82.1,78.1,74.6,0.264,0.285
38,15,170.5,76.4,109.6,84.2,76.3,79.3,81.6,0.278,0.28
39,16,193.4,99.3,110.1,79.3,88.8,74.2,70.6,0.257,0.298
21,2,184.9,87.5,119.6,65.9,82.2,79.4,79.7,0.276,0.284
35,14,182.0,100.2,118.1,95.6,81.7,82.0,67.1,0.271,0.311
35,16,187.0,80.4,114.7,70.4,72.3,78.3,76.5,0.285,0.262
20,0,191.1,89.2,107.6,70.6,85.5,73.2,80.7,0.263,0.274
21,0,190.1,79.6,124.2,91.6,79.9,83.0,90.1,0.271,0.32
25,3,179.1,83.6,119.6,79.0,72.4,76.9,82.2,0.266,0.271
21,3,191.6,80.6,118.4,72.9,79.0,76.2,75.5,0.263,0.289
27,4,188.3,88.5,107.4,81.4,75.3,77.6,65.1,0.266,0.257
36,18,176.7,71.6,115.6,86.9,88.7,82.6,74.6,0.244,0.33
26,3,181.5,85.8,122.3,72.4,79.6,79.1,78.8,0.25,0.289
36,14,182.7,91.3,117.3,73.0,76.9,79.2,67.1,0.277,0.275
33,10,178.8,75.1,112.6,81.4,81.8,78.5,83.2,0.272,0.291
20,0,194.4,89.2,101.1,80.5,74.7,80.0,75.1,0.263,0.249
35,12,191.8,77.0,121.5,85.6,91.3,75.9,66.0,0.259,0.321
26,6,181.0,102.5,101.8,83.2,73.5,80.8,79.5,0.259,0.252
31,8,184.5,79.7,102.0,88.0,83.0,80.8,79.2,0.26,0.274
33,15,180.1,93.5,115.3,81.9,71.6,80.7,87.0,0.248,0.289
24,4,180.1,84.0,113.2,85.0,89.9,79.6,91.3,0.269,0.334
24,5,206.3,83.1,123.9,94.1,76.6,76.1,83.8,0.29,0.301
22,3,182.4,88.0,125.8,81.1,82.9,80.9,79.0,0.274,0.317
37,15,188.9,79.0,116.7,93.9,83.4,82.4,79.6,0.25,0.316
23,2,172.3,91.9,101.5,77.6,76.6,72.8,63.5,0.268,0.245
28,5,188.6,83.0,98.7,83.3,82.5,86.8,75.5,0.258,0.29
29,6,176.7,83.6,112.1,84.2,80.9,78.7,72.2,0.282,0.281
22,0,190.6,88.2,103.9,86.2,75.9,76.2,76.8,0.259,0.263
30,9,172.4,80.8,112.8,76.3,69.7,81.6,81.2,0.269,0.256
27,9,195.7,84.0,111.0,78.4,75.6,78.6,71.2,0.266,0.255
32,14,185.0,80.5,119.1,83.4,80.5,76.4,68.0,0.266,0.274
32,11,184.6,83.8,114.2,79.4,80.0,79.0,76.2,0.267,0.274
28,5,192.0,95.1,114.1,84.2,78.6,75.0,70.8,0.237,0.274
20,1,185.7,78.3,109.5,85.2,78.4,82.5,64.9,0.259,0.281
38,17,185.7,95.2,107.1,79.2,72.7,79.2,78.5,0.253,0.255
38,15,181.7,81.5,115.9,75.9,86.1,80.2,68.1,0.292,0.286
32,13,192.2,94.4,106.4,76.9,80.0,79.2,74.9,0.258,0.285
27,5,194.4,102.6,115.1,81.3,84.3,85.2,81.4,0.271,0.315
24,1,188.2,96.5,117.1,76.8,81.0,83.5,75.9,0.292,0.295
21,0,173.1,89.0,113.7,78.7,79.7,70.9,77.6,0.256,0.272
39,21,181.7,78.1,109.6,75.4,81.5,77.5,63.3,0.251,0.274
38,20,186.1,76.9,116.4,85.1,79.4,76.2,76.9,0.278,0.294
37,17,184.2,107.5,111.4,74.8,79.3,81.7,72.0,0.278,0.263
33,13,185.0,74.4,106.0,73.0,78.1,81.7,72.7,0.259,0.273
35,17,196.2,80.5,116.8,86.5,85.3,77.5,62.8,0.302,0.282
23,3,187.1,92.0,111.7,81.9,80.0,78.2,78.7,0.245,0.283
28,7,175.9,96.6,105.6,79.6,86.7,79.3,82.2,0.26,0.296
26,5,184.4,85.1,108.6,86.5,78.5,74.2,82.9,0.282,0.26
30,8,192.9,105.1,116.3,81.0,82.5,83.2,78.5,0.267,0.3
21,0,186.6,91.7,120.3,73.3,76.6,80.0,73.5,0.257,0.285
31,11,178.4,86.8,106.5,88.1,69.3,82.3,78.1,0.267,0.267
27,5,184.4,92.9,104.4,65.7,77.8,80.6,70.9,0.255,0.262
27,5,181.7,70.8,116.2,75.2,81.0,82.3,67.9,0.266,0.28
26,4,186.8,82.5,104.0,88.3,86.3,81.5,71.6,0.232,0.302
32,14,189.7,84.2,110.1,83.6,77.4,86.1,74.1,0.264,0.268
23,2,194.5,82.4,106.6,79.2,75.5,82.7,65.0,0.254,0.259
28,8,183.1,108.0,113.5,79.7,76.9,81.3,67.8,0.267,0.281
32,11,173.8,88.1,105.6,81.1,85.9,81.4,78.2,0.25,0.285
39,16,187.5,91.7,114.3,87.6,81.2,88.9,83.7,0.28,0.315
30,8,178.6,97.0,98.2,91.7,77.5,81.9,73.2,0.277,0.266
23,3,189.1,80.1,121.5,83.2,75.3,84.8,65.1,0.26,0.289
23,3,192.7,98.3,110.2,81.5,80.0,82.1,84.7,0.287,0.292
37,16,186.7,95.7,115.3,76.1,86.2,77.2,71.4,0.275,0.274
22,4,175.6,90.0,113.4,82.2,75.5,79.2,69.4,0.259,0.275
28,5,174.1,84.6,112.4,87.3,75.4,77.3,66.6,0.256,0.271
30,12,182.9,91.5,103.9,70.7,83.5,75.1,69.8,0.248,0.267
26,4,186.1,82.5,117.1,85.5,81.2,81.4,74.6,0.286,0.29
20,0,182.1,78.6,105.7,87.3,89.0,77.5,79.9,0.279,0.297
35,14,192.0,91.0,115.1,82.8,84.7,79.3,75.3,0.243,0.309
22,0,183.8,87.7,116.5,83.3,77.1,77.2,70.1,0.262,0.28
21,3,175.9,96.5,102.4,70.1,81.8,81.5,76.7,0.293,0.264
36,16,178.5,100.2,110.5,80.3,82.8,73.4,84.7,0.275,0.285
35,14,181.8,93.0,119.1,90.2,77.9,76.9,74.2,0.268,0.296
30,8,182.6,88.3,130.8,76.4,75.0,76.0,74.0,0.277,0.284
26,8,182.6,83.0,101.5,89.5,83.1,80.2,80.8,0.268,0.298
25,6,191.8,97.3,126.4,88.9,86.9,75.2,78.3,0.263,0.321
32,10,188.8,80.8,115.2,84.3,82.4,79.3,88.0,0.279,0.308
39,17,189.5,89.0,102.8,79.0,79.9,84.2,71.7,0.256,0.276
21,0,188.5,103.6,98.5,79.2,81.3,83.4,69.1,0.263,0.274
20,2,198.4,107.0,114.2,83.0,80.3,71.9,75.7,0.29,0.282
34,13,189.7,101.2,99.4,79.3,89.5,78.2,72.4,0.276,0.285
38,15,194.4,97.1,105.0,91.5,78.2,74.8,72.3,0.269,0.268
31,10,187.0,92.5,113.4,88.3,92.7,69.6,61.8,0.251,0.301
36,17,181.4,99.7,110.8,88.5,76.1,81.0,76.2,0.251,0.28
20,0,189.7,81.7,107.0,87.5,77.3,84.1,64.2,0.276,0.291
39,18,180.8,90.8,104.5,83.5,84.4,84.4,80.5,0.281,0.288
35,14,192.8,91.7,101.1,84.6,85.2,80.5,81.1,0.266,0.281
37,17,181.2,103.4,116.0,77.5,80.6,75.6,76.9,0.256,0.295
31,12,187.7,88.6,110.8,80.8,85.6,80.1,71.0,0.25,0.281
23,2,198.7,82.5,113.5,84.2,93.0,85.4,60.0,0.261,0.327
29,7,186.2,80.1,111.7,76.1,83.5,75.3,61.5,0.303,0.268
29,8,181.4,75.1,114.8,87.4,88.0,76.3,74.2,0.258,0.3
26,4,181.9,86.0,106.2,87.5,77.4,80.7,77.3,0.251,0.28
33,12,182.1,84.0,128.7,64.8,90.6,79.0,82.0,0.261,0.329
21,1,173.7,93.1,108.4,84.1,70.4,79.5,59.3,0.268,0.248
30,9,178.0,79.4,121.3,75.4,81.1,83.2,74.4,0.273,0.297
23,1,186.4,98.5,118.9,86.4,73.4,70.3,68.8,0.262,0.267
34,15,184.4,64.1,118.1,79.3,76.3,85.8,80.6,0.235,0.308
30,11,176.4,100.6,109.7,83.2,81.7,89.2,79.5,0.279,0.288
25,7,182.2,87.2,97.9,75.4,81.8,78.4,58.3,0.243,0.27
33,10,189.9,68.2,118.4,82.7,80.6,85.5,75.4,0.312,0.284
36,15,194.8,80.8,112.1,81.9,79.1,79.4,67.1,0.29,0.279
25,4,184.4,83.0,113.1,77.4,81.0,76.4,74.5,0.259,0.284
23,3,180.9,84.4,111.1,89.2,76.7,73.8,67.0,0.256,0.264
29,8,194.5,77.7,110.2,76.6,79.1,75.6,64.6,0.268,0.259
27,4,197.9,102.5,107.0,88.9,92.7,80.5,74.0,0.255,0.316
23,0,178.5,75.0,111.4,89.3,73.1,74.3,76.9,0.28,0.265
24,1,182.6,86.0,110.7,82.1,70.9,78.8,77.7,0.271,0.262
30,7,182.4,101.9,120.6,83.3,76.7,83.1,77.9,0.268,0.295
30,9,186.7,81.0,100.0,88.6,78.4,76.7,62.0,0.277,0.254
37,17,196.6,86.8,100.9,80.3,86.8,86.4,65.2,0.283,0.283
37,14,191.5,90.2,103.5,78.3,78.6,78.4,73.2,0.279,0.255
35,14,188.1,81.8,120.7,78.2,87.9,85.1,80.0,0.271,0.328
32,12,178.1,90.3,104.5,83.0,75.2,82.8,79.1,0.276,0.285
38,17,179.6,73.2,117.3,86.1,81.9,82.3,80.3,0.274,0.303
27,9,179.6,74.4,120.4,85.5,86.1,76.4,69.2,0.251,0.311
27,5,185.8,71.1,116.9,74.3,84.1,84.1,77.1,0.248,0.306
28,8,199.7,76.9,112.4,81.6,85.6,85.9,68.1,0.309,0.29
35,17,172.5,68.3,97.3,80.2,76.7,83.4,85.6,0.262,0.278
34,12,188.5,91.1,122.1,79.7,75.8,77.9,67.4,0.264,0.289
25,4,197.9,92.5,116.7,71.0,85.9,76.0,78.2,0.255,0.299
32,11,185.2,94.6,112.2,77.0,68.5,80.1,67.4,0.259,0.247
35,15,184.8,99.1,124.1,73.4,75.9,78.5,71.7,0.294,0.279
31,8,187.7,94.8,115.1,86.3,82.6,73.4,73.0,0.242,0.291
24,1,180.1,84.3,114.5,82.9,82.0,79.2,78.8,0.269,0.301
37,14,179.7,66.3,112.1,89.5,79.2,87.0,68.5,0.278,0.28
32,12,184.7,84.2,125.6,82.1,79.5,78.7,76.4,0.304,0.293
34,14,192.7,96.4,109.1,89.7,80.0,75.2,78.7,0.305,0.269
34,14,183.3,85.9,116.2,88.7,70.9,77.4,72.7,0.238,0.27
28,5,193.6,96.5,120.7,83.9,85.5,77.1,86.3,0.269,0.316
23,4,187.0,91.8,113.1,93.0,85.4,85.5,66.5,0.307,0.299
22,4,186.2,93.4,110.4,78.8,74.2,77.6,77.6,0.272,0.26
22,3,174.1,77.8,108.7,89.2,91.0,84.0,74.9,0.26,0.319
33,13,190.2,89.2,99.2,79.7,80.5,75.7,79.5,0.296,0.245
36,16,182.8,82.8,111.0,76.2,80.6,72.4,76.4,0.263,0.266
27,6,185.4,76.9,122.9,86.8,84.8,72.6,74.7,0.264,0.304
24,3,192.7,79.9,102.2,88.5,75.3,82.3,74.1,0.272,0.273
34,14,192.1,93.2,100.6,83.6,76.2,85.7,68.2,0.257,0.258
38,17,190.5,78.6,106.9,96.0,86.7,82.9,73.4,0.3,0.291
31,9,186.1,93.2,111.2,77.3,83.4,82.1,70.4,0.283,0.292
39,16,181.6,85.8,102.0,76.7,81.9,77.8,72.1,0.295,0.264
22,1,186.2,73.7,114.4,82.2,73.4,78.3,71.4,0.261,0.271
35,14,178.2,95.1,115.3,83.4,82.1,81.9,72.6,0.278,0.293
29,11,167.6,89.6,107.4,83.2,71.2,84.3,81.9,0.287,0.269
26,3,188.6,79.0,111.7,91.3,88.6,76.7,75.1,0.274,0.303
24,3,188.5,93.5,106.1,76.0,72.2,79.3,71.0,0.291,0.247
36,17,183.1,84.0,101.1,80.1,86.1,81.4,84.8,0.3,0.299
29,11,183.9,85.7,119.4,83.3,82.4,82.7,65.6,0.282,0.29
28,9,196.1,112.0,110.3,88.0,83.8,83.2,63.1,0.271,0.284
24,4,182.8,81.0,110.5,75.0,80.7,78.2,77.9,0.289,0.27
20,2,181.6,77.5,103.7,82.0,79.3,83.4,86.7,0.282,0.284
35,15,183.7,78.5,118.2,85.5,76.6,82.7,68.0,0.281,0.286
23,0,182.2,82.5,104.9,74.0,80.7,72.3,73.3,0.274,0.239
38,18,189.4,91.1,110.1,90.5,76.8,80.9,71.2,0.262,0.27
38,19,171.6,87.6,122.2,72.0,84.6,78.4,71.3,0.279,0.292
29,6,187.7,92.8,106.3,89.3,78.3,71.0,75.1,0.264,0.268
22,0,172.3,100.1,120.6,72.6,76.1,75.9,81.3,0.259,0.28
24,2,186.9,86.4,117.4,78.7,79.4,74.6,78.3,0.262,0.288
20,0,183.0,83.3,112.8,80.8,72.4,82.4,71.3,0.282,0.268
28,9,198.2,99.4,103.1,85.4,80.1,81.0,80.8,0.268,0.278
35,13,187.8,87.2,102.4,72.6,79.0,77.0,71.8,0.282,0.248
33,15,188.5,89.2,111.2,86.9,86.5,80.9,71.7,0.261,0.298
34,14,190.4,94.5,105.6,93.8,81.1,73.3,78.0,0.265,0.268
32,10,175.0,103.3,118.3,85.2,78.6,84.3,78.1,0.269,0.296
38,17,184.4,84.9,112.6,75.3,80.1,82.6,70.1,0.279,0.275
23,0,189.6,91.8,114.7,84.6,80.3,85.5,79.5,0.293,0.294
38,16,189.0,88.3,119.2,85.9,87.3,77.2,70.7,0.25,0.311
22,0,188.1,90.4,114.6,85.9,97.9,83.1,76.4,0.287,0.332
32,9,176.6,92.3,112.2,76.0,77.7,80.6,78.0,0.26,0.283
33,14,177.7,88.8,108.3,87.0,74.7,75.2,78.0,0.269,0.272
39,16,188.2,93.5,108.0,77.1,75.6,69.6,74.0,0.243,0.262
35,16,170.8,101.8,105.0,78.3,89.2,78.7,79.9,0.254,0.303
26,4,182.4,102.5,115.0,82.4,77.3,71.2,74.0,0.241,0.273
39,20,181.9,102.0,119.6,76.8,74.1,74.0,72.7,0.315,0.258
23,0,175.1,98.3,127.5,86.6,75.5,81.7,68.7,0.273,0.299
34,16,192.8,89.6,119.1,80.4,85.5,87.4,72.9,0.285,0.308
34,15,196.0,75.3,110.0,67.3,75.2,72.5,76.5,0.26,0.25
37,15,196.5,79.2,112.7,80.8,76.7,76.5,75.0,0.251,0.275
20,2,180.0,87.1,111.5,85.3,76.5,77.6,74.1,0.253,0.275
21,3,185.0,87.3,104.3,87.5,70.6,78.0,70.3,0.288,0.251
35,17,187.5,71.3,114.1,83.3,90.0,88.8,70.2,0.269,0.317
39,19,195.6,82.8,111.3,82.5,88.2,81.8,72.8,0.244,0.306
32,13,180.3,77.8,117.6,72.2,80.6,81.6,73.1,0.278,0.298
