"horas_estudio","tiempo_lectura","horas_sueno","uso_redes","motivacion","asistencia","nivel_socioeconomico","apoyo_familiar","estres","rendimiento_academico"
10,10,4,7,3,63,3,1,6,77.81
1,1,5,5,5,63,1,10,3,76.4
4,4,5,6,2,98,1,8,1,79.26
10,10,5,6,1,80,2,3,1,73.54
9,8,4,1,8,86,3,3,10,89.66
1,2,8,2,6,63,5,10,5,78.58
1,1,5,3,7,73,3,5,1,77.14
7,6,5,7,9,82,5,4,4,91.53
1,1,5,5,1,99,3,2,7,74.57
8,8,9,8,8,64,4,5,2,90.14
4,3,6,8,7,89,4,1,10,89.38
4,3,6,5,5,80,4,2,4,80.77
7,6,6,3,10,92,2,6,9,92.63
6,6,8,8,2,84,2,10,8,83.94
8,8,6,5,7,82,1,5,1,85.51
8,8,4,6,5,98,4,8,5,85.62
2,2,4,3,7,81,1,3,3,78.1
1,2,6,1,9,61,5,7,1,80.53
10,10,8,5,8,80,3,3,10,91.08
2,1,7,7,2,61,3,3,5,75.5
9,9,7,7,3,64,2,10,3,79.88
7,5,8,8,2,83,4,4,5,80.64
2,3,6,5,6,92,5,1,8,81.43
4,5,9,8,2,66,5,7,4,80.52
3,4,7,6,1,100,4,3,2,76.6
4,2,9,4,4,60,2,6,2,77.95
1,2,6,8,1,77,4,6,4,77.23
3,3,9,6,1,99,5,7,2,78.24
7,8,4,3,4,70,5,2,6,80.16
6,6,8,8,10,90,2,3,1,91.31
6,5,7,2,4,100,3,9,6,82.88
8,7,8,5,9,72,3,9,3,90.75
10,9,6,7,1,76,3,6,3,75.14
10,10,4,1,2,93,1,10,7,76.77
7,6,8,6,2,69,2,5,4,76.94
4,3,4,7,2,86,2,8,9,82.72
1,1,9,3,5,91,5,8,10,81.65
9,8,6,1,9,75,1,6,6,88.32
4,4,4,6,3,81,5,6,2,80.35
5,7,8,3,2,97,5,10,5,80.1
7,8,7,8,6,82,5,3,10,90.91
1,1,4,4,1,80,5,4,8,75.28
1,3,8,1,2,70,3,1,7,73.05
3,2,8,3,5,88,5,6,10,84.25
4,3,5,8,2,71,4,7,6,81.46
5,6,5,4,4,89,3,3,1,79.75
10,10,5,2,10,84,2,8,5,91.16
7,7,9,5,2,74,5,6,9,81.04
10,10,5,8,8,82,4,3,2,90.28
9,10,6,2,6,75,5,10,6,86.1
4,5,9,5,3,73,3,9,5,79.59
5,6,8,5,5,88,3,10,1,84.59
7,8,7,2,8,76,1,10,4,86.92
10,10,5,4,7,91,1,10,4,85.81
1,2,4,1,1,67,3,5,1,71.75
5,6,5,5,5,64,4,10,8,85.58
8,6,7,4,9,98,5,8,2,90.89
1,2,8,3,7,85,3,6,8,80.06
7,7,8,2,1,73,3,4,4,73.91
4,3,8,5,7,79,4,7,10,88.35
3,4,4,6,6,80,1,7,1,81.95
7,7,7,5,8,74,5,6,5,88.55
6,6,5,2,5,84,3,4,3,81.37
9,9,7,4,6,90,1,5,1,82.86
7,7,9,5,6,86,1,5,8,85.03
4,2,8,3,10,91,3,6,6,87.41
8,10,8,7,1,66,4,9,4,78.96
5,6,6,4,10,69,2,8,2,88.4
3,4,4,3,3,80,3,2,3,76.01
2,2,8,1,2,74,5,4,10,78.91
10,10,5,8,9,81,2,10,6,94.78
2,2,8,6,4,88,3,1,4,76.48
3,3,8,4,8,90,5,1,1,83.45
8,9,7,3,5,79,1,8,4,81.03
2,1,5,6,6,90,2,1,5,79.09
8,9,8,2,2,76,3,7,5,76.47
3,2,5,7,10,79,3,7,9,90.58
10,8,7,1,7,77,1,5,7,84.12
1,2,7,3,8,77,5,3,3,79.18
2,1,6,4,3,93,4,8,1,78.06
9,10,8,5,5,88,4,9,8,86.37
6,5,7,3,2,76,5,3,5,77.74
2,1,8,7,7,94,5,9,4,84.72
10,9,6,3,10,83,2,6,2,90.42
7,7,7,5,3,67,2,5,6,78.26
6,7,7,1,2,100,2,8,2,78.08
10,10,5,6,6,96,2,2,8,85.38
7,8,7,6,5,68,5,5,7,85.44
9,10,7,2,5,77,2,8,1,81.34
9,10,6,3,5,67,3,3,7,81.65
9,10,9,6,1,67,2,5,6,74.84
9,9,6,8,8,96,5,3,9,95.24
5,5,4,3,8,71,1,2,3,82.58
4,4,9,4,10,62,3,1,7,85.62
1,3,7,8,10,85,4,4,6,84.39
1,2,4,7,10,84,2,1,7,82.57
9,7,8,5,9,98,2,7,1,89.81
1,1,5,4,9,88,3,3,2,78.84
7,7,4,4,6,84,5,1,8,85.34
1,1,5,6,3,86,3,2,6,76.28
2,2,4,4,7,75,2,2,1,79.01
9,10,9,2,7,60,1,5,5,83.04
1,1,8,4,1,86,4,1,7,72.95
5,7,8,6,8,64,5,9,9,91.9
1,1,5,4,10,77,4,4,10,84.41
1,2,4,7,1,100,4,2,6,76.7
6,4,7,8,4,73,4,3,7,83.76
2,2,9,7,6,68,1,1,8,80.36
5,5,5,4,5,82,5,8,8,85.37
6,7,6,2,2,89,3,1,7,76.63
1,1,9,8,7,71,3,3,4,79.26
1,2,4,3,10,79,5,8,2,81.92
10,9,5,8,7,74,1,3,4,85.76
10,10,4,8,1,60,3,9,4,76.75
10,10,6,2,7,90,5,2,6,85.63
4,6,8,8,4,85,5,10,6,86.11
10,10,6,3,8,87,2,1,9,88.06
6,6,7,5,1,70,2,3,10,78.52
6,6,9,2,1,89,5,6,10,80.14
4,4,9,8,6,73,3,8,4,85.36
4,3,4,7,7,65,5,2,5,85.39
8,9,5,1,9,82,5,2,3,88.79
2,5,6,4,2,95,5,5,9,79.58
8,7,4,7,4,83,2,9,10,87.77
2,3,5,5,2,87,2,6,4,75.75
7,8,6,5,1,98,5,4,2,77.6
6,5,4,6,2,98,1,10,3,80.19
10,10,6,7,3,94,5,10,10,86.44
10,10,6,4,3,68,3,10,10,82.37
2,2,4,8,1,100,5,6,5,79.81
7,8,4,3,1,87,1,8,10,79.08
4,4,7,4,4,60,3,6,4,79.02
7,7,8,1,3,75,5,8,4,79.47
4,5,5,3,3,89,1,2,3,76.01
7,7,6,4,2,77,5,3,1,77.26
3,2,9,1,5,99,1,1,10,81.46
8,6,8,2,9,85,1,8,7,89.01
6,5,4,5,2,72,3,5,2,77.51
1,3,7,8,10,61,2,6,2,82.63
10,10,4,2,8,68,2,9,8,89.11
5,4,8,8,1,88,5,2,10,83.33
9,10,6,4,2,92,1,5,9,78.51
5,4,4,7,9,94,1,3,6,89.05
7,7,7,8,1,94,4,1,1,78.35
8,7,8,5,3,73,1,3,8,78.47
7,6,7,8,3,64,1,5,10,83.6
7,8,9,2,4,77,1,4,6,78.34
9,9,4,8,1,70,1,5,10,79.46
8,9,6,4,5,64,1,8,5,82.09
6,6,7,7,3,90,5,6,8,84.56
3,4,5,7,1,63,4,10,2,79.01
9,8,5,7,7,71,1,7,8,87.97
10,10,4,4,6,79,4,9,9,87.01
5,5,9,4,8,72,3,1,8,85.5
4,2,4,7,8,86,2,3,4,85.27
3,3,9,7,7,62,1,8,3,82.55
4,4,8,6,5,74,1,1,8,81.5
3,3,9,6,10,97,1,7,5,87.08
8,7,6,7,5,94,5,5,5,86.25
10,10,9,2,8,60,3,3,7,86.19
6,5,8,1,9,73,1,7,5,86.96
2,1,5,8,9,66,4,2,7,85.3
9,9,4,3,3,92,3,9,6,79.77
2,2,8,8,9,74,3,7,9,87.82
10,10,4,6,5,85,5,8,1,85.04
6,5,8,6,4,76,2,9,1,82.7
9,8,8,6,1,83,5,8,10,80.78
8,7,4,5,3,64,3,8,4,79.09
3,2,6,8,3,76,4,5,9,84.13
4,4,6,2,6,98,5,1,7,82.87
3,3,5,2,8,87,3,3,10,86.13
2,1,4,8,6,85,4,2,1,82.13
1,1,8,5,4,72,3,7,9,79.15
1,1,4,2,5,70,2,4,2,74.28
10,10,8,5,5,91,5,6,9,85.58
2,1,4,3,1,84,1,3,3,72.25
5,6,4,5,5,66,1,3,10,83.93
3,2,9,2,8,66,3,5,7,82.32
1,2,7,1,1,97,3,7,6,74.34
3,1,8,2,4,60,1,3,2,74.44
9,8,5,6,1,72,2,10,8,78.22
1,1,4,1,7,78,3,2,1,76.21
3,4,8,6,7,69,4,9,4,84.06
8,8,7,5,2,70,2,7,10,80.74
9,10,4,3,6,80,4,3,2,82.81
6,6,4,1,5,65,4,6,6,81.91
10,9,9,6,7,86,3,5,6,87.02
5,5,8,7,10,91,5,2,5,90.97
5,7,8,1,6,70,4,3,2,81.67
1,1,8,1,8,87,3,6,1,79.9
9,9,4,7,7,72,5,4,4,88.9
3,2,6,2,3,99,2,6,10,81.35
2,3,5,5,9,85,2,4,6,82.62
5,5,5,2,3,79,5,8,3,79.87
7,7,4,5,2,76,2,6,5,77.9
10,10,8,7,3,95,1,3,6,78.12
7,7,9,4,1,66,2,9,3,75.82
10,9,9,5,5,83,1,8,3,80.42
7,6,8,6,5,66,2,6,5,82.34
10,10,7,8,3,79,3,10,9,84.07
4,3,4,6,10,62,5,9,10,94.69
8,9,6,2,6,62,5,1,1,82.28
8,9,6,6,5,66,4,7,2,84.25
10,10,7,4,10,70,5,7,7,93.65
7,7,8,1,3,80,4,7,10,83.25
5,6,8,1,9,68,5,5,5,86.54
5,6,6,6,9,98,1,1,6,86.95
6,5,5,6,4,74,4,2,9,83.96
4,7,9,2,5,80,5,10,5,82.83
5,5,5,5,5,75,1,8,3,81.76
10,10,8,7,5,97,1,4,10,87.08
2,4,5,5,4,84,2,4,7,78.2
10,9,5,1,3,99,1,8,7,78.55
4,5,9,3,8,81,4,8,9,88.14
4,4,5,7,4,69,2,3,1,79.92
5,6,7,3,9,96,4,3,1,86.98
9,9,8,3,10,78,4,7,3,91.41
2,3,4,7,5,93,3,4,1,80.84
3,2,8,7,6,92,1,10,2,83.32
9,8,7,4,7,98,2,6,1,86.13
9,9,6,8,2,60,5,1,3,77.72
6,6,9,6,6,81,3,8,5,85.37
2,3,6,6,6,65,4,9,6,82.38
5,5,9,7,3,78,3,6,9,83.7
1,2,7,6,3,73,4,3,4,76.03
3,2,7,8,9,60,5,2,3,86.24
8,8,7,8,1,69,2,8,9,80.96
1,2,6,5,4,84,1,10,4,76.94
1,1,7,7,1,65,1,7,4,74.46
9,8,7,2,5,62,5,10,3,82.59
4,5,5,5,4,68,3,10,7,82.92
9,7,4,2,4,81,2,1,5,77.09
9,8,6,3,6,99,3,9,8,86.84
2,2,5,2,7,70,3,7,9,82.5
4,3,8,2,5,69,5,7,1,81.85
1,1,9,2,10,65,4,9,9,83.93
9,8,8,2,4,88,3,2,7,79.19
6,5,5,8,10,86,2,8,1,93.42
9,10,9,6,10,61,3,9,9,95.92
4,4,9,1,4,93,5,3,3,78.14
10,10,9,8,6,85,2,5,6,86.17
2,1,6,2,10,95,5,5,6,83.58
3,4,8,2,2,66,1,9,9,77.73
9,10,4,5,1,81,1,6,6,74.69
3,2,7,3,10,76,3,2,1,83.66
9,9,5,4,9,86,5,7,2,91.08
9,10,8,3,2,83,5,1,3,75.08
9,9,6,5,2,75,4,2,6,76.55
6,6,9,4,6,99,1,8,3,82.86
10,10,7,2,2,78,5,5,10,79.25
1,1,8,2,10,77,2,4,3,78.1
4,6,6,5,6,86,3,3,6,83.03
4,4,8,1,10,100,2,7,1,86.36
10,10,6,5,10,70,3,2,10,94.34
4,4,4,4,1,84,3,8,3,75.93
9,10,5,1,9,89,3,2,8,90.2
5,5,9,4,8,99,1,8,1,85.85
6,5,8,5,9,67,1,1,4,85.26
5,5,7,7,3,78,5,4,7,82.62
2,1,8,6,8,100,3,5,5,82.85
3,2,8,7,2,74,3,9,7,81.07
2,1,6,2,3,90,3,4,5,76.43
2,2,5,6,6,95,3,2,10,83.71
6,4,5,4,5,85,3,8,6,83.56
9,10,6,7,6,90,1,9,4,86.44
1,1,8,3,6,92,1,10,1,77.4
4,4,9,3,1,92,2,9,1,75.96
8,10,7,6,2,97,3,5,10,83.29
1,1,8,7,1,85,1,2,8,75.27
8,8,7,3,9,64,5,8,4,89.63
8,7,5,1,3,78,2,1,2,75.88
2,3,6,5,4,85,4,7,8,81.24
8,9,8,6,7,67,1,6,4,86.04
1,2,9,3,10,84,5,4,4,80.46
3,3,9,4,9,82,3,9,5,85.03
10,9,7,7,6,84,3,3,8,85.71
4,4,7,3,3,63,5,2,8,78.58
8,7,8,3,2,98,4,7,5,77.28
4,3,8,8,6,82,4,6,5,86.25
10,8,5,3,1,99,4,4,8,74.74
7,5,6,6,8,80,5,1,4,87.56
7,6,8,3,10,95,1,7,5,89.59
8,7,5,6,2,91,3,1,6,77.39
4,3,8,8,1,63,5,3,6,79.46
2,1,7,2,10,61,3,3,2,80.35
9,9,9,4,9,91,2,1,9,89.82
4,4,8,3,8,74,1,8,3,82.58
5,7,5,1,3,91,5,7,1,80.55
10,10,4,8,2,75,3,9,5,79.72
4,4,5,7,7,98,5,8,4,88.45
10,10,9,2,1,72,2,5,5,71.81
3,2,8,6,9,68,3,2,2,83.78
5,6,8,5,1,83,2,3,7,76.88
3,2,4,4,4,66,2,6,3,77.61
3,1,5,1,9,63,4,5,6,84.02
2,2,7,7,4,64,2,3,2,78.12
6,7,7,8,4,85,3,2,8,84.94
4,3,9,2,9,87,3,3,3,83.26
6,7,5,8,1,63,4,10,10,85.57
3,2,6,3,6,75,2,3,3,78.89
6,7,4,4,2,67,3,10,1,78.84
8,9,9,6,9,75,1,6,7,90.55
7,7,9,6,10,67,4,1,4,88.95
10,10,4,1,7,98,1,4,9,87.49
3,5,5,8,5,65,3,3,8,84.21
10,10,7,4,3,87,2,1,9,78.86
3,3,9,1,8,96,4,2,8,83.79
6,4,4,5,3,88,5,1,4,79.42
2,2,4,5,3,78,5,9,5,78.92
9,10,9,3,6,67,5,4,6,84.4
6,6,6,1,4,92,5,4,2,81.01
2,3,6,2,3,76,5,6,8,78.65
6,7,7,1,7,84,1,10,6,85.81
7,8,7,1,1,87,3,5,4,75.35
7,9,6,5,7,74,3,6,4,86.62
3,3,6,3,5,71,4,9,8,82.58
3,2,6,4,2,65,2,10,2,77.39
10,10,7,3,7,86,3,2,7,85.13
2,1,9,3,4,68,5,9,7,79.06
3,3,9,2,9,67,4,8,9,86.86
10,10,7,4,5,94,1,9,5,81.97
6,6,6,3,4,81,5,10,8,84.82
10,10,7,2,1,89,5,10,8,77.22
2,2,6,8,5,94,2,5,5,81.59
6,6,8,6,2,90,2,5,1,79.01
8,8,8,1,3,79,4,1,8,78.56
6,5,7,4,8,61,2,3,3,83.48
7,6,7,8,8,89,1,9,3,90.08
7,6,7,4,3,90,1,9,2,79.33
7,7,7,4,2,60,2,8,1,77.34
6,8,5,3,1,67,3,5,9,77.84
9,8,6,4,10,83,4,1,3,90
5,5,7,2,10,65,2,3,2,85.52
4,5,5,1,8,76,2,4,1,83.18
10,9,6,5,2,77,1,9,5,76.1
6,6,6,4,2,61,2,1,3,74.6
5,5,5,8,5,100,4,4,9,88.65
6,9,7,3,3,69,5,10,1,81.82
4,4,8,2,2,93,5,3,3,77.16
2,3,5,2,9,66,1,5,1,80.24
8,8,5,3,4,98,5,9,4,82.23
8,7,9,7,5,65,1,5,3,81.59
5,6,6,6,2,80,2,3,1,77.99
8,10,5,4,9,72,4,3,7,90.17
9,10,8,6,2,77,1,9,9,80.12
6,4,6,3,8,85,4,4,9,88.87
5,5,4,8,8,82,2,9,9,92.56
6,4,4,1,3,89,1,3,1,77.61
2,2,5,8,6,90,1,1,5,80.7
10,9,4,4,7,86,4,4,5,85.82
7,7,8,6,8,60,4,1,9,89.66
2,2,7,1,9,68,4,4,9,83.72
1,1,5,1,9,89,1,4,2,77.49
8,9,8,8,1,67,1,9,2,78.24
7,7,7,7,2,68,1,1,6,76.68
1,1,7,1,2,69,2,4,8,73.97
6,5,6,4,2,89,3,7,2,77.71
4,4,5,6,8,87,1,9,2,86.58
1,1,6,3,2,87,2,10,8,76.89
1,1,4,3,7,67,4,5,1,77.54
9,8,7,5,8,78,2,10,4,88.12
10,10,8,6,9,95,5,8,9,96.1
4,2,9,1,4,84,1,8,2,78.61
5,5,4,4,3,96,1,4,3,77.95
2,1,9,5,2,90,4,6,4,76.53
3,3,8,4,8,96,3,7,6,84.36
3,1,4,3,2,81,3,8,5,77.37
1,1,6,4,2,87,5,8,4,76.43
10,10,8,5,1,93,4,4,3,73.64
3,4,9,4,6,88,5,2,9,83.76
3,3,9,1,9,84,3,6,3,83.38
1,1,8,4,4,77,1,3,3,73.81
8,8,7,1,4,88,1,4,7,79.79
2,2,6,6,1,89,2,1,1,74.83
9,9,5,6,5,98,1,9,2,83.99
10,10,8,2,2,91,3,5,6,75.23
4,3,7,2,3,76,4,3,9,79.76
3,5,8,2,2,81,1,2,3,73.26
9,10,4,3,4,86,5,4,10,84.3
1,1,8,3,8,88,4,9,7,81.64
3,3,9,6,4,84,1,8,7,80.72
3,2,7,5,2,76,4,4,9,79.71
6,4,7,4,2,73,2,5,10,80.35
9,10,6,1,1,82,3,5,2,74.36
6,6,6,5,7,78,1,5,3,84.95
3,2,7,5,9,97,1,2,7,83.95
1,2,5,2,2,65,4,10,6,75.62
5,5,8,7,7,82,5,5,1,87.3
9,8,9,6,8,72,2,7,7,89.45
7,7,4,8,2,68,4,7,4,80.48
6,5,4,3,4,95,1,5,9,82.06
1,2,8,4,8,64,5,5,8,80.9
1,2,4,2,5,84,5,3,5,76.4
4,5,8,8,3,66,1,4,4,79.48
7,7,5,4,10,65,4,10,9,94.84
10,10,4,2,1,72,2,3,9,73.74
8,8,7,4,10,67,4,10,4,92.11
3,3,9,2,10,63,1,7,3,83.43
3,7,9,1,4,73,1,10,6,78.15
6,5,9,4,5,91,5,6,5,83.12
2,3,4,7,6,95,5,7,6,84.07
5,2,4,6,1,74,2,7,2,77.33
1,1,6,8,7,72,5,1,8,82.53
7,7,4,6,5,65,5,6,8,86.79
3,2,8,2,5,71,1,5,9,80.49
2,3,9,5,9,94,4,5,5,83.57
3,3,9,7,4,77,4,4,3,80.03
1,1,6,7,9,100,3,9,4,84.32
1,1,4,7,10,86,4,7,9,86.65
5,6,6,3,5,87,2,7,1,81.35
9,9,9,4,10,62,4,8,9,94.93
1,1,4,4,2,80,1,8,9,76.68
3,3,7,7,7,71,1,6,6,84.05
2,1,9,4,9,92,5,8,9,86.85
1,2,9,2,8,98,1,4,5,77.45
7,7,5,5,10,69,4,3,8,91.84
2,3,6,1,5,87,1,1,3,74.93
10,10,9,2,2,95,1,2,8,74.42
2,3,9,2,7,60,2,1,8,78.74
6,9,9,7,6,84,3,8,2,86.72
8,8,5,1,7,61,4,4,5,84.45
5,6,6,5,7,75,1,5,7,84.98
9,9,7,4,4,80,5,1,2,78.55
1,1,6,1,6,76,3,3,1,75.58
10,9,5,1,4,66,1,4,2,76.73
9,10,4,4,6,74,3,5,7,84.85
1,1,6,5,2,88,5,9,7,78.7
3,2,8,8,5,61,4,5,7,83.98
1,1,8,4,7,83,3,2,1,76.77
1,1,7,8,3,95,1,7,8,80.24
2,3,4,8,3,63,2,6,4,78.83
3,3,9,3,10,72,4,9,8,88.03
4,5,7,8,9,98,5,6,4,91.07
3,3,7,8,9,93,2,8,8,90.21
2,2,6,1,2,85,1,3,6,73.41
10,8,4,4,7,98,5,7,10,91.37
2,2,6,5,1,88,5,3,2,75.47
5,7,8,4,7,66,1,5,4,82.79
1,2,5,2,6,84,1,4,4,75.51
1,1,4,1,1,98,2,1,8,73.37
1,2,5,3,7,81,3,4,3,76.92
4,4,9,4,7,89,1,9,8,85.58
7,7,8,1,4,98,3,9,2,81.49
2,2,9,5,7,95,2,4,5,79.68
7,6,7,1,6,73,1,8,4,82.89
5,4,8,7,1,60,3,1,7,76.6
3,2,5,2,1,96,3,5,8,76.96
3,2,8,3,9,71,2,1,7,82.27
7,8,8,1,10,80,4,2,5,89.77
1,2,8,7,6,95,5,2,8,82.26
9,10,6,8,3,76,1,7,4,80.76
8,9,5,2,7,80,3,4,3,84.97
1,1,8,3,4,88,1,1,5,72.89
2,1,4,3,5,86,3,1,2,76.35
6,7,4,7,8,86,1,5,3,87.7
1,1,9,7,8,85,3,1,3,79.1
2,2,6,4,5,83,4,8,10,84.29
2,1,5,1,4,67,4,3,1,76.56
10,10,6,5,9,81,1,3,1,88.97
9,9,8,7,9,73,4,5,6,91.82
10,10,7,3,2,80,2,1,9,75.4
7,8,9,1,1,64,2,8,4,74.9
4,4,7,4,10,64,4,2,4,85.4
9,9,8,8,4,86,2,4,5,82.26
10,10,5,4,3,100,4,6,5,78.52
5,5,8,6,7,62,4,2,8,86.48
1,1,9,8,10,90,3,8,1,84.99
8,10,5,2,4,71,3,6,3,80.21
5,6,7,4,5,99,5,1,5,81.85
7,5,9,3,3,69,2,4,6,77.13
4,3,5,4,7,97,2,6,1,84.21
5,5,9,3,9,83,5,5,7,88.65
3,3,4,5,8,100,3,9,2,84.89
10,10,6,4,5,71,4,7,4,81.47
5,7,9,1,5,90,5,3,5,81.5
10,9,5,6,1,85,4,3,3,73.96
6,5,4,1,9,81,5,4,7,89.33
6,6,4,3,1,94,5,1,9,78.74
9,8,4,4,2,68,5,1,1,74.75
1,3,7,8,4,95,3,3,8,80.94
9,10,7,2,10,94,1,9,3,91.37
9,10,6,8,8,94,2,1,8,91.96
5,6,7,7,6,97,3,7,5,87.07
7,7,4,7,3,97,1,3,3,79.99
5,3,4,8,4,61,5,1,4,82.32
7,6,8,2,4,85,3,6,4,79.3
10,8,7,3,8,69,5,10,2,88.52
3,5,4,6,8,64,4,2,6,83.81
6,7,5,2,9,85,1,5,6,87.35
4,4,6,4,1,85,4,2,2,74.98
8,10,9,7,5,83,3,4,10,87.55
4,5,4,5,2,62,2,1,2,75.94
4,6,5,5,2,95,1,6,6,78.53
1,1,4,1,6,71,3,7,7,77.97
5,3,7,3,8,93,4,10,3,86.56
10,9,8,6,9,77,5,4,9,93.37
3,2,4,6,10,97,2,5,2,85.75
7,5,7,6,6,98,3,2,3,84.48
4,7,4,3,6,66,2,6,3,80.7
10,9,4,4,6,87,1,10,4,83.67
5,4,7,5,10,89,2,9,1,90.34
8,7,7,7,10,91,4,8,7,96.03
3,3,9,4,5,88,2,7,10,83.38
6,7,7,2,9,69,5,7,6,88.56
5,3,8,6,7,60,5,4,2,85.31
6,4,9,1,3,77,1,10,3,77.7
5,7,9,6,8,82,4,3,9,89.17
8,10,6,3,3,92,2,3,8,79.84
6,6,4,8,7,96,3,1,7,88.74
10,10,7,7,4,83,2,3,1,80.82
8,8,4,1,6,91,3,6,6,84.49
9,9,5,5,1,93,1,10,6,76.26
9,10,8,7,3,85,1,8,6,81.47
4,5,6,4,10,79,4,3,1,86.61
6,8,8,3,5,81,3,10,9,86.18
8,8,5,3,7,75,2,4,4,84.33
10,9,7,7,10,69,5,6,7,94.71
2,2,8,2,7,80,2,7,5,79.47
1,2,5,7,8,61,3,5,6,81.86
5,5,4,7,2,86,4,9,10,86.01
3,2,4,7,5,65,3,2,2,80.27
2,3,7,3,1,83,1,9,1,75.08
1,1,6,8,5,93,5,9,4,82.32
1,1,6,5,6,64,5,7,2,78.47
7,6,6,6,7,82,3,4,4,85.92
7,7,4,6,4,69,2,2,3,80.14
10,10,9,6,7,69,4,2,7,86.48
2,1,4,5,6,97,2,3,8,80.67
10,10,9,6,4,68,1,4,10,81.99
1,1,6,5,4,74,1,6,10,78.93
9,10,7,7,2,79,5,5,1,79.51
3,3,5,7,6,91,5,8,5,85.92
7,6,7,8,5,72,4,5,1,85.52
3,4,8,1,1,68,2,8,4,74.87
5,5,4,2,5,73,4,3,2,80.07
9,9,5,4,3,70,3,7,1,77.67
3,4,4,3,5,73,3,5,7,80.11
3,4,8,5,2,81,2,5,10,79.94
6,4,7,2,1,70,5,1,9,77.36
7,7,7,5,10,90,2,7,3,90.86
6,7,4,7,10,90,2,1,2,90.56
9,9,5,5,3,72,1,3,7,77.49
6,8,8,6,6,84,4,5,5,86.24
3,1,9,5,6,73,2,3,7,80.17
5,4,8,8,7,77,5,6,6,88.99
5,3,5,3,7,73,2,5,7,83.6
9,10,4,1,10,71,2,3,9,92.28
9,7,4,5,6,87,5,6,9,88.79
1,1,7,1,5,71,2,7,4,75.2
9,8,5,7,2,88,4,10,5,80.98
1,1,5,2,1,62,4,8,10,77.41
10,9,9,6,6,95,3,2,8,84.62
4,3,6,4,3,64,3,9,6,78.88
7,5,7,5,2,79,2,9,2,78.3
8,8,7,1,8,80,5,2,1,86.87
1,2,4,4,6,77,5,9,1,79.95
9,10,9,1,9,96,4,7,9,93.04
1,1,9,6,4,67,5,2,5,76.76
2,3,9,2,10,69,5,8,8,86.19
5,5,9,2,5,69,5,1,1,79.83
7,9,8,5,9,68,1,3,8,88.96
3,3,6,6,4,88,1,4,4,79.34
9,10,9,5,5,69,5,1,5,81.67
10,10,8,4,2,66,3,6,1,74.05
8,6,7,6,6,61,5,9,8,88.42
7,6,7,4,8,66,5,4,9,89.67
9,10,7,2,10,69,3,1,7,90.19
1,2,7,4,7,76,3,5,10,82.06
9,10,6,5,7,85,4,9,2,88.38
10,10,5,6,6,70,1,8,6,84.8
8,8,8,8,2,87,1,5,3,78.47
8,10,4,6,5,94,4,10,8,88.3
9,10,4,4,4,86,5,10,7,84.23
3,4,6,4,6,97,5,5,4,82.51
3,2,5,2,5,67,3,1,7,78.09
7,8,7,1,8,90,3,8,2,87.94
6,8,7,2,5,88,3,7,6,82.93
10,10,4,7,7,62,2,9,10,92.3
1,3,5,8,1,61,4,10,6,78.75
10,10,8,4,9,60,5,5,2,90.22
2,2,6,7,6,61,2,1,10,83.33
3,3,7,4,9,73,2,3,2,82.74
4,5,6,4,6,90,4,5,4,82.94
2,1,4,5,2,92,1,7,2,75.8
1,1,5,5,7,68,5,7,2,79.18
10,10,4,2,2,65,5,2,3,73.54
3,3,9,5,8,62,5,8,7,85.34
6,6,8,1,4,68,2,5,3,78.51
9,9,6,8,9,65,5,4,9,96.14
1,1,8,3,3,65,1,7,10,77.56
7,7,4,3,2,87,5,8,3,78.37
7,8,5,2,4,89,4,10,4,82.36
5,5,4,8,10,69,5,3,7,93.54
3,3,8,6,5,86,5,2,8,82.57
9,10,4,4,1,69,4,6,6,75.81
7,9,9,5,10,86,2,3,3,89.3
9,8,6,4,3,98,4,5,8,80.84
3,2,7,4,5,100,4,8,7,83.5
5,6,8,2,4,97,1,6,3,78.78
7,7,7,7,5,73,1,9,1,84.15
4,4,5,5,7,77,4,1,7,84.71
2,2,6,8,6,62,4,2,10,84.69
10,10,6,2,2,78,1,3,1,72.07
5,4,8,8,3,73,1,5,2,80.2
3,5,7,8,6,91,3,5,8,86.4
4,6,9,6,2,98,4,9,4,80.89
10,10,6,2,6,78,4,7,9,86.4
5,4,7,2,9,95,2,7,3,86.86
5,7,9,2,5,72,1,5,5,80.01
10,10,7,6,1,61,3,3,5,73.44
3,3,9,8,3,71,3,1,3,77.97
9,9,5,1,8,86,2,1,9,88.18
6,7,9,5,4,80,5,2,10,84.31
8,7,8,5,9,66,4,9,7,91.75
1,1,9,8,3,66,3,7,9,80.88
9,9,7,3,9,90,1,7,1,88.66
6,6,4,2,7,75,2,5,1,83.75
7,4,4,4,1,79,4,8,1,76.26
10,10,4,3,5,91,2,4,3,80.03
3,2,9,7,2,100,4,1,6,78.15
5,5,5,1,8,77,1,7,5,84.94
1,1,4,8,6,71,1,4,7,79.72
5,4,9,5,5,64,3,5,9,83.94
4,4,7,5,7,68,2,3,8,84.07
7,6,7,4,8,60,4,7,9,90.24
4,4,9,5,6,80,5,9,5,84.24
4,3,5,6,4,65,4,1,10,83.29
2,1,4,7,3,97,2,1,1,77.25
7,6,5,5,9,70,1,2,4,87
9,9,7,1,2,94,1,8,1,75.29
10,10,9,2,3,62,1,8,1,75.82
4,4,4,8,8,98,4,2,8,89.26
10,10,4,6,9,86,1,1,5,88.53
