"","tiempo_respuesta","satisfaccion_cliente","numero_quejas","capacitacion_empleado","experiencia_empleado","disponibilidad_servicio","tiempo_respuesta_2","satisfaccion_2","indice_servicio","eficiencia_operativa","clima","dia_semana","calidad_servicio"
"259",9.32,7.31,5.52,6.69,5.11,8.56,9.43,6.1,7.88,-1.62,28.16,3,93.23
"260",8.89,5.91,6.69,5.59,8.03,10.83,8.99,5.43,9.21,0.69,21.94,2,112.71
"261",10.52,6.65,5.01,2.74,6.67,8.31,10.85,5.74,7.16,-1.71,27.15,2,91.17
"262",11.23,6.07,6.46,6.21,8.71,7.71,11.4,5.35,7,-1.1,18.01,5,96.85
"263",8.7,8.93,2.71,8.62,8.04,8.58,8.85,7.75,8.04,1.05,21.11,1,122.43
"264",9.72,7.96,5.43,5.87,8.94,8.41,9.55,6.84,8.44,1.58,28.04,7,112.95
"265",9.75,6.77,6.47,5.65,10.63,9.9,10.13,5.72,8.24,1.53,24.7,5,112.43
"266",8.07,8.36,2.81,6.71,11.76,10.83,7.87,7.78,8.65,3.71,31.2,1,132.12
"267",10.04,7.76,1.32,5.59,5.28,8.9,10.26,7.84,7.99,-1.53,15.76,3,104.21
"268",13.38,6.85,2.72,6.31,8.86,9.48,13.99,6.33,7.83,-1.64,17.19,1,101.42
"269",11.77,6.69,5.58,6.47,7.17,9.31,12.07,5.9,8.22,-1.92,24.32,7,102.43
"270",8.54,6.15,3.7,4.61,12.61,8.54,8.56,5.34,7.62,4.03,19.04,6,121.62
"271",10.7,7.43,5.17,5.74,7.54,10.98,10.32,6.13,9.71,-1.26,12.72,1,116.39
"272",9.51,6.71,4.03,6.68,5.51,8.73,9.24,5.85,7.48,-1.55,31.21,7,95.45
"273",9.67,7.26,0.98,7.06,10.79,7.16,9.68,6.8,7.36,1.59,20.4,2,110.23
"274",11.74,8.12,1,8.22,10.49,9.95,11.45,7.63,9.09,0.41,28.73,3,122.37
"275",11.21,8.13,2.23,7.94,9.67,9.54,11.67,7.21,8.81,-0.14,27.38,1,115.34
"276",11.85,7.19,3.35,5.57,10.17,6.93,12.82,6.9,6.95,1.03,33.53,3,103.76
"277",10.92,7.01,4.81,4.12,7.42,9.6,11.35,5.73,8.82,-1.68,27.49,7,103.55
"278",8.4,8.49,1.14,6.4,4.62,7.85,8.55,7.62,8.18,-1.3,24.13,4,112.26
"279",9.01,6.35,7.65,7.71,9.98,9.09,8.84,5.4,8.04,1.02,23.4,6,104.33
"280",7.57,5.04,-0.05,7.68,6.15,10.27,6.57,4.63,7.74,-1.12,16.08,3,113.5
"281",11.24,6.43,5.34,4.21,11.57,10.03,10.96,5.81,7.87,1.5,18.77,2,104.31
"282",12.72,5.48,1.84,6.78,5.12,8.82,12.33,5.14,6.95,-3.47,29.27,1,97.27
"283",6.76,6.54,7.15,3.75,6.98,8.23,7.45,6.22,7.86,0.24,29.84,3,95.59
"284",10.16,7.13,5.75,5.82,7.04,9.46,10.58,7.09,8.4,-0.34,15.83,1,99.68
"285",11.03,8.22,5.36,8.19,11.12,11.18,11.21,7.26,9.53,1.5,27.63,3,123.13
"286",9.56,7.2,4.17,6.16,7.13,8.46,9.29,6.72,7.87,-0.76,24.79,6,97.31
"287",8.35,7.39,9.3,6.89,9.62,9.49,8.86,6.94,8.37,1.43,25.39,4,109.65
"288",7.97,8.12,3.38,7.24,8.27,9.47,7.78,7.09,8.82,1.38,35.85,1,118.46
"289",12.56,6.29,5.7,9.87,4.74,10.25,12.88,5.8,8.74,-3.26,24.02,5,97.22
"290",9.58,8.08,4.99,4.71,9.3,9.82,9.52,7.34,7.73,2.05,25.49,3,115.61
"291",12.37,7.07,8.93,4.8,6.44,6.49,11.9,6.3,6.34,-2.5,29.26,1,78.25
"292",8.7,7.53,3.51,4.36,13.72,8.64,9.04,6.67,8.23,4.03,20.8,3,125.86
"293",12.57,6.99,7.84,7.84,6.62,7.59,12.82,5.91,6.51,-2.42,23.23,2,87.83
"294",11.08,6.28,5.25,6.23,6.93,8.15,10.45,5.87,6.23,-1.56,28.82,7,92.88
"295",10.05,7.87,4.57,4.88,9.79,7.7,9.97,7.04,7.27,1.57,31.73,3,104.94
"296",12.33,6.64,8.21,6.43,7.58,10.11,12.2,5.9,8.98,-1.28,25.43,7,95.88
"297",9.26,7.37,7.8,6.52,7.27,9.47,8.24,6.56,7.99,-0.34,33.29,5,102.83
"298",9.27,6.96,3.79,6.6,5.75,9.74,9.04,6.29,8,-1.33,28.6,1,107.57
"299",9.99,6.13,3.99,5.83,8.83,9.85,8.95,5.56,8.44,0.75,22.22,1,109.42
"300",9.8,4.7,2.77,4.06,6.72,9.04,9.66,4.02,7.74,-0.59,22.86,3,98.53
"301",9.7,6.53,4.21,5.15,6.54,8.1,9.98,5.98,6.92,-0.69,23.79,5,93.56
"302",9.63,7.19,3.97,4.06,7.67,8.88,9.78,6.38,7.47,-0.56,24.98,6,101
"303",8.28,6.7,5.23,6.21,8.78,9.49,8.81,6.32,7.05,1.51,21.56,7,113.18
"304",11.92,6.15,7,3.95,7.37,10.51,12.85,5.35,8.57,-1.97,36.63,6,90.95
"305",8.32,5.44,4.75,6.42,6.88,9.14,7.99,4.93,7.11,0.4,19.29,3,108.84
"306",8.48,7.03,5.49,8.66,7.3,7.87,8.66,6.19,7.34,-0.1,31.59,5,104.13
"307",8.27,7.07,2.28,3.64,7.48,7.62,7.69,6.56,7.86,0.38,20.77,1,101.6
"308",13.32,8.31,2.24,3.91,4.01,8.3,13.72,7.73,7.77,-3.95,32.5,2,83.24
"309",11.11,7.13,3.69,6.21,9.23,8.78,10.63,6.37,9.14,0.11,22.38,1,112.05
"310",11.2,8.47,6.49,9.37,7.61,7.79,11.38,7.31,9.49,-1.12,24.28,4,105.03
"311",6.06,7.02,5.96,5.37,5.52,9.25,5.86,6.08,7.87,0.61,20.72,5,107.52
"312",9.24,6.53,9.43,5.51,3.24,7.12,9.13,6.07,6.28,-2.62,23.71,3,80.77
"313",12.32,7.32,5.76,6.23,7.73,8.17,11.91,6.82,7.87,-1.75,20.76,3,88.61
"314",12.78,6.94,5.77,6.39,11.76,7.72,12.29,6.2,7.46,0.46,19.6,1,100.06
"315",5.98,6.91,2.86,4.52,7.31,8.45,6.15,5.83,8.35,0.84,34.31,2,112.26
"316",5.33,5.66,4.07,6.98,8.5,7.65,5.89,5.26,6.73,2.75,22.27,6,110.68
"317",7.26,6.65,5.7,4.71,6.93,8.29,7.53,6.1,6.62,0.98,26.04,5,96.82
"318",7.25,5.44,5.11,6.3,8.56,10.24,6.93,4.66,7.49,1.77,29.94,2,107.64
"319",11.47,6.55,6.76,5.43,7.01,9.22,10.72,5.48,6.98,-2.35,29.48,6,93.03
"320",10.91,7.92,4.56,7.59,7.91,9.19,10.15,7.22,8.79,0.02,34.52,1,116.39
"321",13.55,3.33,6.32,5.17,7.92,10.34,14.17,3.09,6.74,-1.27,26.63,7,92.63
"322",10.39,6.28,7.32,5.69,6.64,8.66,9.21,5.99,6.69,-1.68,28.62,1,94.28
"323",9.31,6.66,6.64,6.59,4.79,10.08,9.38,6.13,7.69,-2.68,25.76,3,104.27
"324",13.23,5.78,6.02,6.46,10.32,10.54,13.35,5.42,8.67,-0.69,22.56,4,104.49
"325",11.55,5.62,5.28,7.66,12.92,8.93,11.51,4.85,7.37,2.14,26.46,4,116.61
"326",11.41,8.8,4.01,6.97,9.15,8.96,11.21,7.48,7.95,-0.42,21.51,7,112.07
"327",12.14,7.72,0.15,6.12,6.71,8.24,12.36,6.83,7.98,-1.69,20.62,1,106.1
"328",9.57,5.88,6.78,5.41,6.9,8.72,9.61,5.5,8.1,-1.6,21.53,6,86.16
"329",10.73,7.2,8.78,6.49,10.62,9.38,11.12,6.09,8.46,1.15,24.23,3,103.65
"330",12.17,6.47,4.68,4.93,7.23,9.21,11.38,5.66,8.32,-1.92,19.49,3,100.22
"331",6.1,5.97,7.79,4.79,5.4,8.88,5.77,5.24,7.55,-0.07,20.22,2,94.73
"332",10.03,7.51,1.96,4.65,6.7,9.2,9.57,7.14,8.71,-0.98,19.54,6,102.42
"333",8.26,7.7,1.98,5.82,3.98,9.46,8.28,6.9,8.95,-2.32,24.07,3,113.73
"334",8.2,5.95,4.96,7.38,7.45,8.01,7.9,5.45,7.52,-0.93,25.6,5,101.6
"335",8.45,9.2,5.42,5.07,8.22,9.02,8.59,8.28,8.99,0.27,28.1,2,120.53
"336",10.72,5.91,5.62,6.24,10.03,10.26,9.97,4.86,8.27,0.06,18.7,1,114.67
"337",9.97,7.85,3.8,8.57,7.75,7.56,9.44,7.57,8.18,-0.58,19.76,4,111.06
"338",7.76,6.99,10.3,6.52,11.66,8.79,7.49,6.5,8.19,2.51,26.26,6,113.32
"339",11.17,6.58,3.27,6.32,9.91,8.18,11.29,5.96,7.94,0.79,27.48,1,102.24
"340",10.97,6.88,3.5,7.01,6.8,10.77,10.8,6.05,9.8,-1.62,19.62,4,109.99
"341",10.95,8.4,6.52,7.31,6.6,8.37,10.96,7.32,8.47,-1.08,24.71,1,106.98
"342",10.72,8.26,5.56,6,8.71,9.53,10.12,7.38,8.91,0.07,24.99,7,114.38
"343",12.44,7.01,0.09,6.26,9.5,8.5,12.41,6.03,7.61,-1.09,25.68,6,109.64
"344",8.65,7.94,6.06,5.23,9.31,8.61,8.31,7.06,7.85,1.39,26.45,3,116.45
"345",8.8,6.93,4.85,5.39,6.84,9.28,8.76,6.34,8.93,-0.49,20.49,4,102.18
"346",11.47,7.95,5.37,9.62,7,8.42,11.1,7.28,8.4,-1.13,26.65,5,105
"347",11.2,6.87,5.71,6.93,5.07,8.31,11.21,6.92,7.14,-2.79,28.63,2,85.57
"348",12.22,8.6,5.53,4.35,4.83,8.01,11.74,7.42,9.15,-2.7,25.26,4,87.68
"349",9.98,5.19,5.14,6.2,10.49,9.26,10.12,4.26,7.86,1.39,22.67,4,108.95
"350",11.21,8.34,3.88,6.34,2.58,9.63,11.39,7.32,10.06,-4.6,20.46,5,100.46
"351",12.25,7.21,6.17,6.38,5.5,8.49,12.42,6.52,7.33,-2.78,16.38,3,86.77
"352",8.59,8.08,10.2,10.72,5.49,9.79,8.94,7.37,9.17,-0.96,16.39,1,107.85
"353",13.52,8.83,4.54,6.52,4.61,7.54,14.19,7.47,8.88,-4.34,26.42,1,89.66
"354",8.54,8.09,6.53,7.69,8.97,10.4,8.44,8,9.24,0.92,12.52,4,118.47
"355",6.73,9.12,5.62,3.11,9.05,7.13,7.45,8.89,8.73,1.79,29.06,4,103.01
"356",9.75,7.67,7.57,7.15,9.55,8.62,9.47,6.47,8.15,1.14,28.71,1,102.49
"357",10.41,5.08,5.78,7.62,11.97,9.39,10.79,4.61,6.62,3.02,23.72,3,108.73
"358",8.63,6.46,4.44,5.08,7.95,11.37,8.66,6,8.95,0.48,32.69,3,115.6
"359",7.97,8.07,4.4,10.45,5.39,9.48,8.22,7.82,7.91,-0.89,24.14,4,111.21
"360",8.66,6.46,6.73,7.71,6.03,8.68,8.09,6.18,7.04,-0.64,20.72,3,99.44
"361",12.24,7.42,5.23,5.36,13.12,9.24,11.86,6.56,7.33,1.25,24.08,7,109.3
"362",5.8,6.48,7.15,6.11,7.69,7.36,5.72,6.11,6.15,1.78,30.94,7,96.94
"363",5.82,7.47,2.36,5.3,7.9,10.42,5.9,7.11,9.27,1.38,24.29,7,119.01
"364",7.42,7,7.19,4.68,6.87,8.88,7.49,6.06,8.05,-0.45,26.92,1,93.9
"365",12.14,6.95,8.2,7.64,5.97,8.72,13.18,6.7,7.54,-3.13,36.29,2,91.13
"366",11.79,7.62,5.77,4.85,7.75,8.09,11.89,6.85,8.18,-0.99,27.27,5,94.59
"367",8.31,8.48,5.88,4.39,10.09,7.65,7.96,7.32,8.49,1.82,20.22,3,107.31
"368",10.09,6.57,9.67,7.31,7.74,7.15,10.58,5.69,7.86,-0.7,31.51,7,98.36
"369",11.25,5.81,7.97,8.28,6.16,7.13,11.34,5.03,5.93,-2.59,25.38,6,82.99
"370",10.97,8.16,2.63,5.8,11.06,7.9,11.62,7.59,7.65,0.75,27.53,3,115
"371",11.06,5.59,6.34,4.02,6.81,9.73,11.12,4.94,7.23,-0.91,31.52,5,93.59
"372",10.39,7.34,5.55,7.01,7.77,9.47,10.83,6.31,7.91,-1.37,26.69,3,103.35
"373",10.65,7.78,4.97,5.06,7.17,8.42,10.13,6.35,8.35,-2.2,24.74,6,101.6
"374",7.12,7.24,6.52,5.46,9.74,11.25,7.36,6.35,9.35,2.22,25.36,4,125.06
"375",14.23,8.87,3.52,11.77,8.64,10.45,14.82,7.78,9.32,-1.9,27.2,3,122.44
"376",9.63,6.9,4.81,7.41,7.81,8.73,9.85,5.92,8.37,-0.1,28.15,3,112.11
"377",10.98,8.16,4.84,8.07,5.21,7.84,10.92,6.76,8.22,-2.19,17.73,5,102.77
"378",7.28,8.44,6.23,3.63,10.39,9.04,6.59,7.61,8.25,2.5,17.43,3,121.16
"379",9.27,6.96,5.59,4.29,9.12,7.92,9.16,6.06,8.02,1.4,20.05,2,103.54
"380",11.51,7.58,7.56,7.75,8.3,8.2,11.29,6.81,7.68,-1.55,24.83,3,97.16
"381",10.29,6.22,8.12,8.29,6.38,10.58,10.1,5.6,8.12,-0.52,29.69,7,105.69
"382",10.52,8.25,7.39,6.98,6.08,9.23,10.23,7.22,8.73,-1.15,31.06,6,95.22
"383",7.39,7.72,9.26,6.16,4.44,10.07,7.48,7.18,7.69,-2.22,17.28,7,100.87
"384",10.98,5.33,8.57,4.68,7.83,8.06,11.32,4.77,7.41,-0.92,21.59,2,87.37
"385",8.98,7.13,6.84,6.27,7.47,8.67,8.93,6.55,8.07,-0.44,17.24,3,103.04
"386",6.68,7.51,4.32,5.1,7.59,9.96,6.19,6.95,9.04,1.61,23.08,5,115.56
"387",11.24,7.91,4.01,4.2,10.05,9.44,11.11,7.47,9.18,-0.83,28.29,3,116.69
"388",10.03,7.04,6.93,2.74,10.18,10.07,10.46,6.4,8.75,1.07,20.19,2,106.21
"389",8.53,5.9,6.02,4.21,7.77,7.01,7.94,5.2,6.16,0.25,25.12,1,95.93
"390",10.55,6.9,6.68,3.52,8.09,7.98,10.44,6.63,7.19,0.17,20.85,6,94.48
"391",6.28,8.82,6.29,5.62,7.26,8,6.02,7.98,8.66,1.59,33.84,5,111.87
"392",14.16,5.98,7.84,8.48,10.33,9.19,14.76,5.49,7.11,-0.74,35.99,3,103.82
"393",5.28,6,5.27,5,11.52,10.18,5.14,5.4,7.95,3.73,28.84,7,128.2
"394",10.65,6.6,9.24,2.87,6.16,9.28,11.11,5.92,7.05,-2.15,20.79,6,89.16
"395",9.54,4.62,5.82,5.44,7.19,8.66,9.47,4.42,6.45,-1.03,27.81,6,95.62
"396",7.64,5.72,7.79,3.99,7.58,8.92,6.88,4.97,7.34,0.59,22.78,4,96.53
"397",10.66,5.27,4.18,7.43,8.88,11.19,10.78,4.94,8.47,0.65,22.75,6,105.53
"398",9.19,8.13,5.85,8.57,7.95,9.6,8.69,7.51,9.58,-0.13,35.55,1,119.24
"399",13.05,7.98,3.96,4.48,8.79,8.98,12.67,6.97,8.42,-0.79,19.95,4,104.98
"400",7.79,5.87,1.9,7.2,8.48,9.18,7.72,4.75,7.83,-0.03,27.92,1,113.25
"401",12.67,7.49,2.54,9.42,4.19,9.53,12.73,7.28,8.78,-4.09,23.51,4,105.71
"402",11.11,6.64,9.18,7.76,8.11,8.96,10.75,6.17,8.06,-0.51,24.78,1,93.73
"403",7.89,7.07,3.04,5.43,7.02,10.31,7.87,6.5,8.55,0.72,30.75,2,117.01
"404",9.62,8.52,1.17,7.61,6.71,8.81,9.66,7.65,8.43,-0.65,24.09,4,110.99
"405",8.18,5.02,4.42,6.55,6.9,9.53,7.89,4.28,7.95,0.17,13.75,3,108.67
"406",6,6.71,3.48,5.84,12.73,10.4,5.44,5.77,9.3,3.99,20.17,1,135.59
"407",13.82,7.34,6.32,5.55,9.92,9.04,13.1,6.36,8.45,-1.39,28.42,2,97.28
"408",13.14,5.01,4.7,7.3,8.93,8.68,12.67,5.02,6.75,-1.17,25.74,3,93.81
"409",10.28,7.08,5.36,5.03,6.71,9.58,10.63,6.46,8.72,-1.22,23.14,4,97.31
"410",7.16,7.91,4.44,6.94,12.42,9.29,6.65,6.74,7.62,4.31,26.97,2,136.96
"411",11.03,6.82,5.07,6.18,6.97,8.91,11.16,5.87,8.53,-2.16,34.44,4,100.61
"412",8.03,7.07,6.21,7.01,3.8,10.5,8.16,6.49,8.46,-2.29,30.01,5,97.06
"413",11.19,7.03,6.84,7.36,8.05,9.56,10.6,6.05,8.56,-1.29,28.52,7,101.92
"414",11.74,7.23,3.57,3.98,11.92,9.23,11.42,6.25,7.97,2.17,26.93,6,107.62
"415",10.38,7.62,8.94,5.63,4.44,9.94,10.19,7.22,7.88,-1.28,28.79,5,89.75
"416",9.86,6.85,7.29,4.18,8.07,9.13,9.99,6.02,8.2,-0.46,27.75,7,97.13
"417",12.15,5.03,4.17,5.59,3.66,9.61,12.5,4.85,6.29,-3.12,23.16,5,94.64
"418",12.14,8.5,3.4,8.31,9.8,8.42,12.64,7.55,8.74,-0.72,17.61,4,103.16
"419",10.84,6.23,6.44,7.03,8.29,11.02,10.77,5.67,8.6,0.03,33.59,7,110.97
"420",9.75,6.5,3.43,5.58,6.97,7.53,9.62,6.32,7.06,-0.39,31.46,5,96.3
"421",11.87,6.54,2.74,6.9,7.22,8.62,12.41,6.05,7.7,-2.77,23.94,5,101.72
"422",10.4,7.22,2.06,5.3,8.74,8.58,10.69,6.91,6.89,-0.39,19.61,3,103.86
"423",12.9,6.88,5.62,5.73,7.22,8.92,12.51,5.79,8.1,-1.53,14.74,6,85.96
"424",7.44,7.4,6.45,4.39,9.22,7.48,7.69,6.85,8.22,2.69,18.4,1,101.88
"425",9.83,6.53,3.67,5.83,6.75,10.14,10.79,6.28,8.02,-1.19,26.58,5,98.78
"426",12.2,7.06,7.72,5.61,8.77,9.03,12.16,6.74,8.41,-0.62,23.24,5,93.51
"427",8.62,7.27,1.5,5.51,8.26,9.29,8.55,6.31,8.8,0.48,22.61,2,115.31
"428",6.55,7.75,3.42,7.39,7.84,8.02,6.81,6.52,8.05,2.25,28.68,3,116.34
"429",11.13,6.45,5,8.31,6.7,9.53,11.01,5.88,8.59,-2.47,29.35,2,105.38
"430",8.81,7.28,5.4,8.27,5.41,9.6,8.86,7.03,7.98,-1.39,22.74,7,103.45
"431",9.02,7.44,2.44,8.87,5.3,7.63,9.33,6.8,7.82,-0.64,26.07,3,102.7
"432",11.54,6.96,5.6,5.84,6.6,8.56,11.49,6.31,7.87,-0.91,26.8,1,96.22
"433",14.23,6.74,4.06,7.51,7.58,9.81,14.34,5.62,8.11,-2.17,23.42,5,96.04
"434",10.09,8.07,3.66,2.96,6.6,7.98,9.88,6.93,8.18,-1.24,21.79,6,93.82
"435",11.89,7.28,1.74,3.93,10.54,9.48,11.77,6.89,8.88,1.04,29.35,4,111.54
"436",5.75,4.27,4.44,8.37,8.01,8.66,5.49,3.77,6.8,1.62,30.74,7,103.8
"437",10.18,6.83,4.5,9.64,9.84,8.93,10.57,6.17,7.88,-0.09,18.66,2,113.76
"438",6.52,6.57,7.07,6.1,6.77,9.74,6.35,5.56,7.31,0.35,24.23,5,103.61
"439",6.6,7.21,0.92,6.84,8.14,9.78,6.37,6.48,8.99,1.98,30.59,4,125.84
"440",12.82,7.38,8.92,5.78,10.31,7.28,12.63,7.04,8.1,-0.85,28.41,2,88.19
"441",11.4,7.4,4.23,6.41,6.87,9.29,11.01,6.66,8.43,-2.08,23.88,5,98.23
"442",11.15,7.72,7.08,5.55,8.8,9.36,10.74,7.07,8.42,-0.14,31.99,1,110.15
"443",8.93,5.9,5.41,7.31,8.39,9.38,8.82,5.3,7.65,0.66,18.05,1,111.7
"444",7.44,5.43,6.59,6.28,7.38,8.29,8.02,4.68,6.89,0.44,29.65,2,101.99
"445",10.86,6.85,5.66,1.93,7.38,8.9,11.37,6.41,7.44,-2.31,29.93,1,93.48
"446",7.74,6.71,4.02,6.96,8.54,8.07,8.07,6.16,7.21,1.57,18.97,4,106.57
"447",14.84,7.73,3.84,4.41,5.08,9.88,15.15,6.5,8.59,-5.27,27.41,1,82.07
"448",10.16,8.26,2.35,7.6,6.62,6.2,9.99,7.64,7.32,-1.66,23.99,6,102.09
"449",10.63,6.88,5.84,5.93,7.77,11.02,10.76,6.07,8.97,0.23,29.32,4,112.18
"450",6.84,5.26,2.31,6.27,8.89,6.89,6.36,4.95,6.18,1.24,28.86,2,101.87
"451",11.04,8.34,4.76,8.46,11.49,8.81,10.75,7.78,8.53,1.72,25.63,6,112.15
"452",12.27,7.41,3.76,5.4,6.31,8,12.49,6.86,7.48,-1.7,24.33,5,95.03
"453",10.62,6.82,5.25,5.24,8.61,9.02,10.36,6.25,8.67,-0.44,26.66,5,103.96
"454",10.11,7.69,7.26,6.18,7.82,7.98,10,6.88,7.92,-1.18,31.38,6,96.57
"455",13.13,7.03,1.61,7.82,7.67,8.67,13.45,6.33,7.92,-2.35,27.01,3,103.81
"456",11.44,9.39,5.52,8.27,7.8,10.99,11.12,8.02,9.73,-2.05,19.63,4,114.95
"457",11.27,6.42,4.11,4.32,4.66,9.02,11.18,5.9,7.9,-2.86,32.9,4,82.13
"458",12.13,7.11,5.84,5.01,7.71,9.22,11.34,6.28,8.68,-1.99,24.07,6,99.09
"459",10.68,5.88,2.83,2.34,7.21,8.9,10.13,5.17,7.18,-1.17,20.99,7,85.8
"460",16.29,5.56,2.19,8.41,7.61,9.48,16.61,5.37,7.91,-4.01,24.53,6,88.44
"461",10.7,7.75,5.59,4.99,8.23,7.89,10.49,6.56,8,0.21,22.38,5,98.91
"462",12.15,8.3,5.5,6.68,11.07,8.33,11.96,7.36,8.86,1.34,27.92,1,105.61
"463",11.83,7.73,6.1,5.82,8.79,7.66,11.49,7.2,8.28,-0.45,18.23,3,95.19
"464",11.44,5.59,2.8,7.46,6.46,9.25,10.58,4.68,7.43,-0.93,28.86,2,102.58
"465",12.11,7.41,1.22,3.66,9.2,8.37,12.06,5.86,7.33,-0.75,16.44,3,100.84
"466",10.7,6.01,8.03,6.43,11.86,10.28,11.08,5.32,8.54,1.56,27.11,5,113.33
"467",6.13,7.4,4.52,5.64,10.74,8.72,6.01,6.77,8.02,3.19,24.48,7,124.81
"468",8.4,4.84,4.95,5.84,7.23,8.68,9.07,4.26,7.08,-0.43,25.07,2,99.38
"469",14.69,8.22,4.95,4.74,3.26,8.47,14.29,6.88,8,-4.59,20.42,2,69.82
"470",13.84,8.88,4.07,7.17,8.67,9.76,13.77,8.36,8.32,-1.13,27.61,7,108.25
"471",9.78,7.16,2.01,6.23,12.29,9.38,9.97,6.5,8.87,2.4,20.95,5,124.76
"472",4.97,8.33,5.23,7.03,9.89,8.89,4.74,7.63,8.52,3.32,23.4,2,125.14
"473",8.48,6.25,3.44,5.39,11.53,8.13,8.87,5.49,7.59,3.09,24.66,1,120.55
"474",6.99,6.8,3.96,8.2,8.25,8.15,6.66,6.14,8.41,2.31,28.25,6,114.54
"475",6.64,7.8,7.95,4.99,9.52,9.6,7.03,7.22,9.28,2.58,26.89,1,111.89
"476",11.9,7.04,5.14,5.86,4.06,9.72,12.48,6.83,7.73,-3.66,31.16,1,92.57
"477",10.25,5.72,2.33,7.08,8.37,12.53,9.91,4.72,9.31,-0.16,21.5,2,123.5
"478",12.88,6.82,3.33,3.08,10.29,8.74,13,6.36,7.3,0.06,29.28,2,99.02
"479",7.35,6.62,4.28,6.1,10.59,7.79,7.16,6.07,7.72,3.02,26.13,3,118.26
"480",7.99,6.55,8.72,7.31,9.4,8.82,8.14,5.77,7.61,1.12,26.18,4,106.08
"481",11.28,7.76,5.65,4.8,7.8,8.34,11.53,6.83,7.91,-1.02,29.22,7,99.83
"482",12.31,8.51,5.18,3.04,6.45,7.76,12.74,7.45,8,-2.28,24.43,3,83.07
"483",9.65,7.22,5.09,8.34,10.52,8.6,9.2,6.24,7.69,1.9,26,5,117.06
"484",8.07,7.35,4.82,7.19,3.3,8.12,8.4,7.13,8.01,-2.21,27.55,2,96.3
"485",13.71,7.69,3.58,5.89,7.18,7.44,12.94,7.03,8.08,-2.21,25.56,5,93.37
"486",13.37,7,4.36,4.63,13.65,10.96,12.75,6.48,9.91,1.54,27.09,6,119.11
"487",12.11,9.21,6.49,5.72,6.88,8.84,11.69,8.44,9.12,-2.63,23.85,6,88.42
"488",11.63,7.28,3.64,7.02,4.33,8.5,11.77,6.57,8.27,-3.66,19.27,7,92.97
"489",7.61,7.31,1.27,6.2,11.64,9,8.01,6.81,8.15,2.94,30.02,4,129.38
"490",5.94,8.68,8.06,4.32,9.67,9.26,6.32,7.85,9.51,3.5,23.27,5,110.73
"491",14.25,4.74,5.01,2.64,6.81,9.44,14.61,4.24,6.77,-3.71,18.46,2,72.83
"492",10.6,7.46,6.64,6.04,8.38,9,10.66,6.29,8.41,0.74,33.49,7,103.9
"493",8.35,6.6,4.24,8.13,6.14,10.04,8.69,6.46,8.8,-0.17,26.22,6,114.52
"494",13.05,6.45,7.35,7.26,10.02,8.64,13.59,5.79,9.01,-0.33,20.97,3,102.74
"495",8.77,6.85,5.94,8.78,8.01,9.58,8.54,5.88,8.82,0.33,30.83,2,110.32
"496",9.08,9.5,7.52,6.83,6.7,8,8.9,8.66,9.1,-0.19,26.87,5,96.13
"497",10.89,7.43,7.16,5.21,9.09,7.77,10.67,6.73,6.88,0.92,19.94,4,97.02
"498",7.21,6.66,6.24,4.79,8.59,9.04,7.55,6.06,7.8,1.3,28.87,7,108.59
"499",9,5.78,0.14,2.91,4.64,10.31,8.97,5.54,8.58,-1.6,20.25,2,100.68
"500",7.88,9.02,3.75,6.23,9.52,9.62,7.36,8.04,9.22,0.71,19.17,7,127.67
"501",12.35,6.04,1.74,6.81,11.54,10.23,11.96,5.78,7.99,1.84,16.11,2,113.58
"502",10.66,7.41,2.67,5.54,7.17,7.44,10.74,6.9,7.82,-0.43,24.6,3,98.11
"503",9.42,7.78,4.08,6.39,9.33,8.16,9.06,7.03,7.88,1.06,35.17,2,116.93
"504",12.64,7.71,4.83,3.92,8.44,10.55,12.07,7.23,8.34,-0.24,27.4,6,102.13
"505",9.91,6.33,4.54,7.35,8.73,9.32,10.15,6.09,8.52,0.03,19.07,5,105.46
"506",9.57,6.15,7.98,7.82,7.68,9.3,9.5,5.23,8.08,-0.41,18.8,5,99.28
"507",10.27,5.89,5.27,7.25,9.4,8.85,10.16,5.12,6.51,0.98,30.88,1,103.65
"508",8.71,7.32,8.09,5.61,5.4,8.89,8.66,6.43,8.77,-0.87,31.22,3,96.41
"509",10.11,7.28,5.78,5.46,7.74,8.87,10.32,6.31,8.23,-0.56,33.73,7,96.68
"510",11.86,6.81,4.57,4.69,8.68,9.51,12.66,6.43,8.09,-1.01,23.44,1,95.22
"511",10.41,5.72,5.59,6.41,9.74,8.81,10.55,5.34,6.21,0.21,31.99,5,109.98
"512",13.25,5.48,1.13,5.75,11.33,9.3,13.33,5.4,7.3,-0.94,23.5,2,108.19
"513",8.81,8.15,7.74,6.08,6.31,8.99,9.01,7.14,8.05,-0.69,18.17,3,98.97
"514",9.38,6.96,4.95,7.44,8.91,10.92,10.35,6.87,8.61,0.49,26.6,3,119.53
"515",12.67,7.11,7.18,4.99,7.49,7.3,13.17,6.55,6.94,-1.79,22.5,4,78.47
"516",7.59,7.89,6.03,8,7.85,10.67,7.53,7.1,9.07,0.65,30.2,3,116.84
"517",7.18,7.47,5.18,4.97,10.62,10.18,6.71,6.9,9.93,3.26,18.37,1,118.47
"518",11.29,6.06,4.88,4.78,4.94,9.71,11.42,5.11,8.98,-3.36,30.71,4,80.74
