fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,indice_alcohol_acidez,balance_azucar_acidez,indice_mineralidad,potencial_alcoholico,relacion_SO2,alcohol_2,density_2,sugar_2,acidez_2,alcohol_sulphates,density_sugar,acidez_pH,alcohol_acidez_volatil,quality
6.8,0.39,0.31,14.35,0.043,28.0,162.0,0.9988,3.17,0.54,9.1,1.3382,35.875,0.583,9.0891,0.1718,82.81,0.9976,205.9225,46.24,4.914,14.3328,21.556,3.549,5
8.7,0.22,0.42,2.3,0.053,27.0,114.0,0.994,2.99,0.43,10.0,1.1494,10.0,0.483,9.94,0.2348,100.0,0.988,5.29,75.69,4.3,2.2862,26.013,2.2,5
7.4,0.41,0.34,4.7,0.042,19.0,127.0,0.9953,3.25,0.42,10.4,1.4054,11.1905,0.462,10.3511,0.1484,108.16,0.9906,22.09,54.76,4.368,4.6779,24.05,4.264,5
6.7,0.25,0.34,12.85,0.048,30.0,161.0,0.9986,3.44,0.47,9.5,1.4179,49.4231,0.518,9.4867,0.1852,90.25,0.9972,165.1225,44.89,4.465,12.832,23.048,2.375,6
6.0,0.26,0.42,5.2,0.027,70.0,178.0,0.9914,3.4,0.4,12.3,2.05,19.2593,0.427,12.1942,0.3911,151.29,0.9829,27.04,36.0,4.92,5.1553,20.4,3.198,8
6.1,0.31,0.37,8.4,0.031,70.0,170.0,0.9934,3.42,0.4,11.7,1.918,26.25,0.431,11.6228,0.4094,136.89,0.9868,70.56,37.21,4.68,8.3446,20.862,3.627,8
9.2,0.28,0.46,3.2,0.058,39.0,133.0,0.996,3.14,0.58,9.5,1.0326,11.0345,0.638,9.462,0.291,90.25,0.992,10.24,84.64,5.51,3.1872,28.888,2.66,5
9.0,0.31,0.49,6.9,0.034,26.0,91.0,0.9937,2.99,0.34,11.5,1.2778,21.5625,0.374,11.4276,0.2826,132.25,0.9874,47.61,81.0,3.91,6.8565,26.91,3.565,5
8.5,0.16,0.33,1.0,0.076,17.0,57.0,0.9921,3.14,0.46,10.6,1.2471,5.8824,0.536,10.5163,0.2931,112.36,0.9843,1.0,72.25,4.876,0.9921,26.69,1.696,6
9.3,0.34,0.49,7.3,0.052,30.0,146.0,0.998,3.17,0.61,10.2,1.0968,20.8571,0.662,10.1796,0.2041,104.04,0.996,53.29,86.49,6.222,7.2854,29.481,3.468,5
9.2,0.28,0.46,3.2,0.058,39.0,133.0,0.996,3.14,0.58,9.5,1.0326,11.0345,0.638,9.462,0.291,90.25,0.992,10.24,84.64,5.51,3.1872,28.888,2.66,5
7.2,0.24,0.3,1.6,0.048,27.0,131.0,0.9933,3.25,0.45,10.5,1.4583,6.4,0.498,10.4296,0.2045,110.25,0.9866,2.56,51.84,4.725,1.5893,23.4,2.52,5
7.2,0.25,0.32,1.5,0.047,27.0,132.0,0.9933,3.26,0.44,10.5,1.4583,5.7692,0.487,10.4296,0.203,110.25,0.9866,2.25,51.84,4.62,1.4899,23.472,2.625,5
6.8,0.32,0.18,7.5,0.041,71.0,223.0,0.9959,3.14,0.41,8.9,1.3088,22.7273,0.451,8.8635,0.317,79.21,0.9918,56.25,46.24,3.649,7.4692,21.352,2.848,5
9.1,0.27,0.32,1.1,0.031,15.0,151.0,0.9936,3.03,0.41,10.6,1.1648,3.9286,0.441,10.5322,0.0987,112.36,0.9872,1.21,82.81,4.346,1.093,27.573,2.862,5
8.9,0.34,0.32,1.3,0.041,12.0,188.0,0.9953,3.17,0.49,9.5,1.0674,3.7143,0.531,9.4553,0.0635,90.25,0.9906,1.69,79.21,4.655,1.2939,28.213,3.23,5
7.0,0.17,0.37,5.7,0.025,29.0,111.0,0.9938,3.2,0.49,10.8,1.5429,31.6667,0.515,10.733,0.2589,116.64,0.9876,32.49,49.0,5.292,5.6647,22.4,1.836,6
6.7,0.25,0.23,7.2,0.038,61.0,220.0,0.9952,3.14,0.35,9.5,1.4179,27.6923,0.388,9.4544,0.276,90.25,0.9904,51.84,44.89,3.325,7.1654,21.038,2.375,5
6.9,0.32,0.17,7.6,0.042,69.0,219.0,0.9959,3.13,0.4,8.9,1.2899,23.0303,0.442,8.8635,0.3136,79.21,0.9918,57.76,47.61,3.56,7.5688,21.597,2.848,5
6.8,0.32,0.18,7.5,0.041,71.0,223.0,0.9959,3.14,0.41,8.9,1.3088,22.7273,0.451,8.8635,0.317,79.21,0.9918,56.25,46.24,3.649,7.4692,21.352,2.848,5
6.1,0.6,0.0,1.3,0.042,24.0,79.0,0.9937,3.31,0.38,9.4,1.541,2.1311,0.422,9.3408,0.3,88.36,0.9874,1.69,37.21,3.572,1.2918,20.191,5.64,4
5.3,0.395,0.07,1.3,0.035,26.0,102.0,0.992,3.5,0.35,10.6,2.0,3.2099,0.385,10.5152,0.2524,112.36,0.9841,1.69,28.09,3.71,1.2896,18.55,4.187,6
7.9,0.16,0.3,4.8,0.037,37.0,171.0,0.9967,3.47,0.44,9.0,1.1392,28.2353,0.477,8.9703,0.2151,81.0,0.9934,23.04,62.41,3.96,4.7842,27.413,1.44,4
7.6,0.33,0.36,2.1,0.034,26.0,172.0,0.9944,3.42,0.48,10.5,1.3816,6.1765,0.514,10.4412,0.1503,110.25,0.9888,4.41,57.76,5.04,2.0882,25.992,3.465,4
7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,1.1538,54.3548,0.434,8.9982,0.1691,81.0,0.9996,283.9225,60.84,3.42,16.8466,24.648,2.7,6
7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,1.1538,54.3548,0.434,8.9982,0.1691,81.0,0.9996,283.9225,60.84,3.42,16.8466,24.648,2.7,6
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,1.6491,15.1852,0.581,9.3455,0.3858,88.36,0.9884,16.81,32.49,3.572,4.0762,18.639,2.444,6
7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,1.1538,54.3548,0.434,8.9982,0.1691,81.0,0.9996,283.9225,60.84,3.42,16.8466,24.648,2.7,6
7.5,0.14,0.34,1.3,0.055,50.0,153.0,0.9945,3.29,0.8,9.6,1.28,8.6667,0.855,9.5472,0.3247,92.16,0.989,1.69,56.25,7.68,1.2928,24.675,1.344,6
7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,1.1538,54.3548,0.434,8.9982,0.1691,81.0,0.9996,283.9225,60.84,3.42,16.8466,24.648,2.7,6
6.6,0.25,0.41,7.4,0.043,29.0,151.0,0.9946,3.15,0.6,10.2,1.5455,28.4615,0.643,10.1449,0.1908,104.04,0.9892,54.76,43.56,6.12,7.36,20.79,2.55,7
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,1.6491,15.1852,0.581,9.3455,0.3858,88.36,0.9884,16.81,32.49,3.572,4.0762,18.639,2.444,6
8.2,0.23,0.49,0.9,0.057,15.0,73.0,0.9928,3.07,0.38,10.4,1.2683,3.75,0.437,10.3251,0.2027,108.16,0.9857,0.81,67.24,3.952,0.8935,25.174,2.392,6
6.0,0.24,0.32,6.3,0.03,34.0,129.0,0.9946,3.52,0.41,10.4,1.7333,25.2,0.44,10.3438,0.2615,108.16,0.9892,39.69,36.0,4.264,6.266,21.12,2.496,5
6.1,0.45,0.27,0.8,0.039,13.0,82.0,0.9927,3.23,0.32,9.5,1.5574,1.7391,0.359,9.4306,0.1566,90.25,0.9855,0.64,37.21,3.04,0.7942,19.703,4.275,5
7.4,0.23,0.43,1.4,0.044,22.0,113.0,0.9938,3.22,0.62,10.6,1.4324,5.8333,0.664,10.5343,0.193,112.36,0.9876,1.96,54.76,6.572,1.3913,23.828,2.438,6
7.2,0.2,0.38,1.0,0.037,21.0,74.0,0.9918,3.21,0.37,11.0,1.5278,4.7619,0.407,10.9098,0.28,121.0,0.9837,1.0,51.84,4.07,0.9918,23.112,2.2,5
7.5,0.14,0.34,1.3,0.055,50.0,153.0,0.9945,3.29,0.8,9.6,1.28,8.6667,0.855,9.5472,0.3247,92.16,0.989,1.69,56.25,7.68,1.2928,24.675,1.344,6
7.7,0.25,0.43,4.5,0.062,20.0,115.0,0.9966,3.38,0.5,9.9,1.2857,17.3077,0.562,9.8663,0.1724,98.01,0.9932,20.25,59.29,4.95,4.4847,26.026,2.475,6
8.2,0.61,0.45,5.4,0.03,15.0,118.0,0.9954,3.14,0.34,9.6,1.1707,8.7097,0.37,9.5558,0.1261,92.16,0.9908,29.16,67.24,3.264,5.3752,25.748,5.856,5
7.6,0.21,0.44,1.9,0.036,10.0,119.0,0.9913,3.01,0.7,12.8,1.6842,8.6364,0.736,12.6886,0.0833,163.84,0.9827,3.61,57.76,8.96,1.8835,22.876,2.688,6
7.4,0.22,0.33,2.0,0.045,31.0,101.0,0.9931,3.42,0.55,11.4,1.5405,8.6957,0.595,11.3213,0.3039,129.96,0.9862,4.0,54.76,6.27,1.9862,25.308,2.508,5
7.2,0.26,0.26,12.7,0.036,49.0,214.0,0.9986,3.41,0.5,10.0,1.3889,47.037,0.536,9.986,0.2279,100.0,0.9972,161.29,51.84,5.0,12.6822,24.552,2.6,6
6.4,0.25,0.41,8.6,0.042,57.0,173.0,0.9965,3.0,0.44,9.1,1.4219,33.0769,0.482,9.0681,0.3276,82.81,0.993,73.96,40.96,4.004,8.5699,19.2,2.275,5
6.3,0.32,0.35,11.1,0.039,29.0,198.0,0.9984,3.36,0.5,9.4,1.4921,33.6364,0.539,9.385,0.1457,88.36,0.9968,123.21,39.69,4.7,11.0822,21.168,3.008,7
6.8,0.25,0.29,2.0,0.042,19.0,189.0,0.9952,3.46,0.54,10.2,1.5,7.6923,0.582,10.151,0.1,104.04,0.9904,4.0,46.24,5.508,1.9904,23.528,2.55,6
9.8,0.44,0.4,2.8,0.036,35.0,167.0,0.9956,2.97,0.39,9.2,0.9388,6.2222,0.426,9.1595,0.2083,84.64,0.9912,7.84,96.04,3.588,2.7877,29.106,4.048,5
7.2,0.2,0.25,4.5,0.044,31.0,109.0,0.9949,3.23,0.36,9.4,1.3056,21.4286,0.404,9.3521,0.2818,88.36,0.9898,20.25,51.84,3.384,4.477,23.256,1.88,5
8.2,0.61,0.45,5.4,0.03,15.0,118.0,0.9954,3.14,0.34,9.6,1.1707,8.7097,0.37,9.5558,0.1261,92.16,0.9908,29.16,67.24,3.264,5.3752,25.748,5.856,5
7.5,0.42,0.45,9.1,0.029,20.0,125.0,0.996,3.12,0.36,10.1,1.3467,21.1628,0.389,10.0596,0.1587,102.01,0.992,82.81,56.25,3.636,9.0636,23.4,4.242,6
7.4,0.22,0.33,2.0,0.045,31.0,101.0,0.9931,3.42,0.55,11.4,1.5405,8.6957,0.595,11.3213,0.3039,129.96,0.9862,4.0,54.76,6.27,1.9862,25.308,2.508,5
6.4,0.26,0.3,2.2,0.025,33.0,134.0,0.992,3.21,0.47,10.6,1.6562,8.1481,0.495,10.5152,0.2444,112.36,0.9841,4.84,40.96,4.982,2.1824,20.544,2.756,6
7.9,0.46,0.32,4.1,0.033,40.0,138.0,0.9912,3.18,0.44,12.8,1.6203,8.7234,0.473,12.6874,0.2878,163.84,0.9825,16.81,62.41,5.632,4.0639,25.122,5.888,7
6.5,0.41,0.64,11.8,0.065,65.0,225.0,0.9978,3.12,0.51,8.9,1.3692,28.0952,0.575,8.8804,0.2876,79.21,0.9956,139.24,42.25,4.539,11.774,20.28,3.649,5
7.5,0.32,0.37,1.2,0.048,22.0,184.0,0.9938,3.09,0.43,9.3,1.24,3.6364,0.478,9.2423,0.1189,86.49,0.9876,1.44,56.25,3.999,1.1926,23.175,2.976,5
6.6,0.21,0.38,2.2,0.026,40.0,104.0,0.9914,3.25,0.4,11.1,1.6818,10.0,0.426,11.0045,0.381,123.21,0.9829,4.84,43.56,4.44,2.1811,21.45,2.331,8
7.1,0.21,0.3,1.4,0.037,45.0,143.0,0.9932,3.13,0.33,9.9,1.3944,6.3636,0.367,9.8327,0.3125,98.01,0.9864,1.96,50.41,3.267,1.3905,22.223,2.079,6
7.6,0.26,0.47,1.6,0.068,5.0,55.0,0.9944,3.1,0.45,9.6,1.2632,5.9259,0.518,9.5462,0.0893,92.16,0.9888,2.56,57.76,4.32,1.591,23.56,2.496,5
7.6,0.21,0.44,1.9,0.036,10.0,119.0,0.9913,3.01,0.7,12.8,1.6842,8.6364,0.736,12.6886,0.0833,163.84,0.9827,3.61,57.76,8.96,1.8835,22.876,2.688,6
6.9,0.25,0.26,5.2,0.024,36.0,135.0,0.9948,3.16,0.72,10.7,1.5507,20.0,0.744,10.6444,0.2647,114.49,0.9896,27.04,47.61,7.704,5.173,21.804,2.675,7
7.1,0.26,0.32,14.45,0.074,29.0,107.0,0.998,2.96,0.42,9.2,1.2958,53.5185,0.494,9.1816,0.2685,84.64,0.996,208.8025,50.41,3.864,14.4211,21.016,2.392,6
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,1.2466,64.1304,0.452,9.0982,0.341,82.81,0.9996,217.5625,53.29,3.731,14.747,24.528,2.002,7
6.2,0.37,0.22,8.3,0.025,36.0,216.0,0.9964,3.33,0.6,9.6,1.5484,21.8421,0.625,9.5654,0.1659,92.16,0.9928,68.89,38.44,5.76,8.2701,20.646,3.552,6
7.9,0.22,0.45,14.2,0.038,53.0,141.0,0.9992,3.03,0.46,9.2,1.1646,61.7391,0.498,9.1926,0.3732,84.64,0.9984,201.64,62.41,4.232,14.1886,23.937,2.024,6
6.9,0.25,0.26,5.2,0.024,36.0,135.0,0.9948,3.16,0.72,10.7,1.5507,20.0,0.744,10.6444,0.2647,114.49,0.9896,27.04,47.61,7.704,5.173,21.804,2.675,7
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,1.2466,64.1304,0.452,9.0982,0.341,82.81,0.9996,217.5625,53.29,3.731,14.747,24.528,2.002,7
7.1,0.26,0.32,14.45,0.074,29.0,107.0,0.998,2.96,0.42,9.2,1.2958,53.5185,0.494,9.1816,0.2685,84.64,0.996,208.8025,50.41,3.864,14.4211,21.016,2.392,6
7.4,0.25,0.37,6.9,0.02,14.0,93.0,0.9939,3.0,0.48,10.7,1.4459,26.5385,0.5,10.6347,0.1489,114.49,0.9878,47.61,54.76,5.136,6.8579,22.2,2.675,7
6.8,0.18,0.37,1.5,0.027,37.0,93.0,0.992,3.3,0.45,10.8,1.5882,7.8947,0.477,10.7136,0.3936,116.64,0.9841,2.25,46.24,4.86,1.488,22.44,1.944,6
7.0,0.17,0.37,1.5,0.028,26.0,75.0,0.9922,3.3,0.46,10.8,1.5429,8.3333,0.488,10.7158,0.3421,116.64,0.9845,2.25,49.0,4.968,1.4883,23.1,1.836,7
6.4,0.3,0.38,7.8,0.046,35.0,192.0,0.9955,3.1,0.37,9.0,1.4062,25.1613,0.416,8.9595,0.1813,81.0,0.991,60.84,40.96,3.33,7.7649,19.84,2.7,5
5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,2.14,4.4118,0.489,10.6112,0.102,114.49,0.9835,2.25,25.0,4.708,1.4876,17.4,3.531,6
5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,2.14,4.4118,0.489,10.6112,0.102,114.49,0.9835,2.25,25.0,4.708,1.4876,17.4,3.531,6
8.9,0.33,0.32,1.5,0.047,11.0,200.0,0.9954,3.19,0.46,9.4,1.0562,4.4118,0.507,9.3568,0.0547,88.36,0.9908,2.25,79.21,4.324,1.4931,28.391,3.102,5
7.0,0.26,0.46,15.55,0.037,61.0,171.0,0.9986,2.94,0.35,8.8,1.2571,57.5926,0.387,8.7877,0.3547,77.44,0.9972,241.8025,49.0,3.08,15.5282,20.58,2.288,6
6.4,0.3,0.38,7.8,0.046,35.0,192.0,0.9955,3.1,0.37,9.0,1.4062,25.1613,0.416,8.9595,0.1813,81.0,0.991,60.84,40.96,3.33,7.7649,19.84,2.7,5
6.3,0.21,0.4,1.7,0.031,48.0,134.0,0.9917,3.42,0.49,11.5,1.8254,7.7273,0.521,11.4046,0.3556,132.25,0.9835,2.89,39.69,5.635,1.6859,21.546,2.415,6
8.0,0.23,0.46,1.5,0.03,30.0,125.0,0.9907,3.23,0.47,12.5,1.5625,6.25,0.5,12.3838,0.2381,156.25,0.9815,2.25,64.0,5.875,1.4861,25.84,2.875,6
9.2,0.28,0.41,1.0,0.042,14.0,59.0,0.9922,2.96,0.25,10.5,1.1413,3.4483,0.292,10.4181,0.2333,110.25,0.9845,1.0,84.64,2.625,0.9922,27.232,2.94,6
7.3,0.27,0.39,6.7,0.064,28.0,188.0,0.9958,3.29,0.3,9.7,1.3288,23.9286,0.364,9.6593,0.1481,94.09,0.9916,44.89,53.29,2.91,6.6719,24.017,2.619,5
7.6,0.32,0.36,1.6,0.04,32.0,155.0,0.993,3.23,0.52,11.3,1.4868,4.8485,0.56,11.2209,0.2051,127.69,0.986,2.56,57.76,5.876,1.5888,24.548,3.616,6
5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,2.14,4.4118,0.489,10.6112,0.102,114.49,0.9835,2.25,25.0,4.708,1.4876,17.4,3.531,6
9.7,0.24,0.45,1.2,0.033,11.0,59.0,0.9926,2.74,0.47,10.8,1.1134,4.8,0.503,10.7201,0.1833,116.64,0.9853,1.44,94.09,5.076,1.1911,26.578,2.592,6
8.0,0.28,0.42,7.1,0.045,41.0,169.0,0.9959,3.17,0.43,10.6,1.325,24.4828,0.475,10.5565,0.2412,112.36,0.9918,50.41,64.0,4.558,7.0709,25.36,2.968,5
8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,1.4268,2.6316,0.354,11.59,0.1809,136.89,0.9813,1.0,67.24,3.744,0.9906,24.928,4.329,8
8.0,0.61,0.38,12.1,0.301,24.0,220.0,0.9993,2.94,0.48,9.2,1.15,19.5161,0.781,9.1936,0.1086,84.64,0.9986,146.41,64.0,4.416,12.0915,23.52,5.612,5
7.2,0.26,0.44,7.1,0.027,25.0,126.0,0.993,3.02,0.34,11.1,1.5417,26.2963,0.367,11.0223,0.1969,123.21,0.986,50.41,51.84,3.774,7.0503,21.744,2.886,8
8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,1.4268,2.6316,0.354,11.59,0.1809,136.89,0.9813,1.0,67.24,3.744,0.9906,24.928,4.329,8
6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11.0,1.7188,4.7917,0.484,10.912,0.0709,121.0,0.9841,1.3225,40.96,4.84,1.1408,21.312,2.53,6
5.9,0.4,0.32,6.0,0.034,50.0,127.0,0.992,3.51,0.58,12.5,2.1186,14.6341,0.614,12.4,0.3906,156.25,0.9841,36.0,34.81,7.25,5.952,20.709,5.0,7
7.6,0.28,0.39,1.2,0.038,21.0,115.0,0.994,3.16,0.67,10.0,1.3158,4.1379,0.708,9.94,0.181,100.0,0.988,1.44,57.76,6.7,1.1928,24.016,2.8,6
8.0,0.28,0.42,7.1,0.045,41.0,169.0,0.9959,3.17,0.43,10.6,1.325,24.4828,0.475,10.5565,0.2412,112.36,0.9918,50.41,64.0,4.558,7.0709,25.36,2.968,5
7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.9908,3.26,0.54,12.3,1.7083,9.5833,0.573,12.1868,0.2816,151.29,0.9817,5.29,51.84,6.642,2.2788,23.472,2.829,7
6.8,0.32,0.37,3.4,0.023,19.0,87.0,0.9902,3.14,0.53,12.7,1.8676,10.303,0.553,12.5755,0.2159,161.29,0.9805,11.56,46.24,6.731,3.3667,21.352,4.064,6
7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.9908,3.26,0.54,12.3,1.7083,9.5833,0.573,12.1868,0.2816,151.29,0.9817,5.29,51.84,6.642,2.2788,23.472,2.829,7
6.9,0.18,0.38,6.5,0.039,20.0,110.0,0.9943,3.1,0.42,10.5,1.5217,34.2105,0.459,10.4401,0.1802,110.25,0.9886,42.25,47.61,4.41,6.4629,21.39,1.89,5
9.4,0.26,0.53,1.2,0.047,25.0,109.0,0.9921,3.23,0.28,12.5,1.3298,4.4444,0.327,12.4012,0.2273,156.25,0.9843,1.44,88.36,3.5,1.1905,30.362,3.25,6
8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.9911,3.2,0.32,12.4,1.494,3.3824,0.353,12.2896,0.1856,153.76,0.9823,1.3225,68.89,3.968,1.1398,26.56,4.092,3
7.3,0.29,0.3,13.0,0.043,46.0,238.0,0.9986,3.06,0.41,8.7,1.1918,43.3333,0.453,8.6878,0.1925,75.69,0.9972,169.0,53.29,3.567,12.9818,22.338,2.523,6
7.9,0.41,0.37,4.5,0.03,40.0,114.0,0.992,3.17,0.54,12.4,1.5696,10.7143,0.57,12.3008,0.3478,153.76,0.9841,20.25,62.41,6.696,4.464,25.043,5.084,7
7.9,0.44,0.37,5.85,0.033,27.0,93.0,0.992,3.16,0.54,12.6,1.5949,13.0,0.573,12.4992,0.2872,158.76,0.9841,34.2225,62.41,6.804,5.8032,24.964,5.544,7
7.7,0.39,0.3,5.2,0.037,29.0,131.0,0.9943,3.38,0.44,11.0,1.4286,13.0,0.477,10.9373,0.2197,121.0,0.9886,27.04,59.29,4.84,5.1704,26.026,4.29,6
7.7,0.26,0.31,1.3,0.043,47.0,155.0,0.9937,3.42,0.5,10.1,1.3117,4.8148,0.543,10.0364,0.3013,102.01,0.9874,1.69,59.29,5.05,1.2918,26.334,2.626,6
7.8,0.32,0.31,1.7,0.036,46.0,195.0,0.993,3.03,0.48,10.5,1.3462,5.1515,0.516,10.4265,0.2347,110.25,0.986,2.89,60.84,5.04,1.6881,23.634,3.36,5
6.8,0.32,0.37,3.4,0.023,19.0,87.0,0.9902,3.14,0.53,12.7,1.8676,10.303,0.553,12.5755,0.2159,161.29,0.9805,11.56,46.24,6.731,3.3667,21.352,4.064,6
7.3,0.24,0.39,3.6,0.024,35.0,116.0,0.9928,3.17,0.51,10.9,1.4932,14.4,0.534,10.8215,0.2991,118.81,0.9857,12.96,53.29,5.559,3.5741,23.141,2.616,5
7.1,0.44,0.37,2.7,0.041,35.0,128.0,0.9896,3.07,0.43,13.5,1.9014,6.0,0.471,13.3596,0.2713,182.25,0.9793,7.29,50.41,5.805,2.6719,21.797,5.94,7
10.3,0.25,0.48,2.2,0.042,28.0,164.0,0.998,3.19,0.59,9.7,0.9417,8.4615,0.632,9.6806,0.1697,94.09,0.996,4.84,106.09,5.723,2.1956,32.857,2.425,5
7.9,0.14,0.28,1.8,0.041,44.0,178.0,0.9954,3.45,0.43,9.2,1.1646,12.0,0.471,9.1577,0.2458,84.64,0.9908,3.24,62.41,3.956,1.7917,27.255,1.288,6
7.4,0.18,0.42,2.1,0.036,33.0,187.0,0.9938,3.4,0.41,10.6,1.4324,11.0526,0.446,10.5343,0.1755,112.36,0.9876,4.41,54.76,4.346,2.087,25.16,1.908,7
8.1,0.43,0.42,6.6,0.033,36.0,141.0,0.9918,2.98,0.39,13.3,1.642,15.0,0.423,13.1909,0.2535,176.89,0.9837,43.56,65.61,5.187,6.5459,24.138,5.719,7
7.1,0.44,0.37,2.7,0.041,35.0,128.0,0.9896,3.07,0.43,13.5,1.9014,6.0,0.471,13.3596,0.2713,182.25,0.9793,7.29,50.41,5.805,2.6719,21.797,5.94,7
6.4,0.26,0.22,5.1,0.037,23.0,131.0,0.9944,3.29,0.32,10.1,1.5781,18.8889,0.357,10.0434,0.1742,102.01,0.9888,26.01,40.96,3.232,5.0714,21.056,2.626,5
8.0,0.66,0.72,17.55,0.042,62.0,233.0,0.9999,2.92,0.68,9.4,1.175,26.194,0.722,9.3991,0.265,88.36,0.9998,308.0025,64.0,6.392,17.5482,23.36,6.204,4
8.0,0.2,0.4,5.2,0.055,41.0,167.0,0.9953,3.18,0.4,10.6,1.325,24.7619,0.455,10.5502,0.244,112.36,0.9906,27.04,64.0,4.24,5.1756,25.44,2.12,7
7.2,0.21,0.34,1.1,0.046,25.0,80.0,0.992,3.25,0.4,11.3,1.5694,5.0,0.446,11.2096,0.3086,127.69,0.9841,1.21,51.84,4.52,1.0912,23.4,2.373,6
7.2,0.18,0.31,1.1,0.045,20.0,73.0,0.9925,3.32,0.4,10.8,1.5,5.7895,0.445,10.719,0.2703,116.64,0.9851,1.21,51.84,4.32,1.0918,23.904,1.944,7
8.4,0.57,0.44,10.7,0.051,46.0,195.0,0.9981,3.15,0.51,10.4,1.2381,18.4483,0.561,10.3802,0.2347,108.16,0.9962,114.49,70.56,5.304,10.6797,26.46,5.928,5
5.3,0.26,0.23,5.15,0.034,48.0,160.0,0.9952,3.82,0.51,10.5,1.9811,19.0741,0.544,10.4496,0.2981,110.25,0.9904,26.5225,28.09,5.355,5.1253,20.246,2.73,7
5.7,0.245,0.33,1.1,0.049,28.0,150.0,0.9927,3.13,0.42,9.3,1.6316,4.3137,0.469,9.2321,0.1854,86.49,0.9855,1.21,32.49,3.906,1.092,17.841,2.2785,5
5.6,0.245,0.32,1.1,0.047,24.0,152.0,0.9927,3.12,0.42,9.3,1.6607,4.3137,0.467,9.2321,0.1569,86.49,0.9855,1.21,31.36,3.906,1.092,17.472,2.2785,6
7.3,0.25,0.41,1.8,0.037,52.0,165.0,0.9911,3.29,0.39,12.2,1.6712,6.9231,0.427,12.0914,0.3133,148.84,0.9823,3.24,53.29,4.758,1.784,24.017,3.05,7
7.0,0.16,0.73,1.0,0.138,58.0,150.0,0.9936,3.08,0.3,9.2,1.3143,5.8824,0.438,9.1411,0.3841,84.64,0.9872,1.0,49.0,2.76,0.9936,21.56,1.472,5
6.4,0.22,0.34,1.8,0.057,29.0,104.0,0.9959,3.81,0.57,10.3,1.6094,7.8261,0.627,10.2578,0.2762,106.09,0.9918,3.24,40.96,5.871,1.7926,24.384,2.266,6
7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,1.2877,7.3684,0.666,9.3492,0.1772,88.36,0.9892,1.96,53.29,5.828,1.3924,24.309,1.692,6
6.4,0.17,0.27,6.7,0.036,88.0,223.0,0.9948,3.28,0.35,10.2,1.5937,37.2222,0.386,10.147,0.3929,104.04,0.9896,44.89,40.96,3.57,6.6652,20.992,1.734,6
6.9,0.29,0.16,6.8,0.034,65.0,212.0,0.9955,3.08,0.39,9.0,1.3043,22.6667,0.424,8.9595,0.3052,81.0,0.991,46.24,47.61,3.51,6.7694,21.252,2.61,6
6.2,0.21,0.38,6.8,0.036,64.0,245.0,0.9951,3.06,0.36,9.3,1.5,30.9091,0.396,9.2544,0.2602,86.49,0.9902,46.24,38.44,3.348,6.7667,18.972,1.953,6
6.4,0.23,0.3,7.1,0.037,63.0,236.0,0.9952,3.06,0.34,9.2,1.4375,29.5833,0.377,9.1558,0.2658,84.64,0.9904,50.41,40.96,3.128,7.0659,19.584,2.116,6
7.3,0.19,0.68,1.5,0.05,31.0,156.0,0.9946,3.32,0.64,9.4,1.2877,7.5,0.69,9.3492,0.1975,88.36,0.9892,2.25,53.29,6.016,1.4919,24.236,1.786,6
7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,1.2877,7.3684,0.666,9.3492,0.1772,88.36,0.9892,1.96,53.29,5.828,1.3924,24.309,1.692,6
9.6,0.29,0.46,1.45,0.039,77.5,223.0,0.9944,2.92,0.46,9.5,0.9896,4.8333,0.499,9.4468,0.346,90.25,0.9888,2.1025,92.16,4.37,1.4419,28.032,2.755,6
